classe,percentage,point,survey,total
Ônibus,1.9,286,8,742.0
Caminhão Leve,14.6,286,8,5754.0
Truck,0.5,286,8,178.0
Semirreboques,17.6,286,8,6948.0
Semirreboques Especiais,10.1,286,8,3994.0
Reboques,0.1,286,8,32.0
Veículo Leve,69.3,128,8,139811.0
Moto,2.5,128,8,5026.0
Ônibus,3.7,128,8,7404.0
Caminhão Leve,11.6,128,8,23340.0
Truck,0.4,128,8,876.0
Semirreboques,8.6,128,8,17433.0
Semirreboques Especiais,3.7,128,8,7376.0
Reboques,0.3,128,8,622.0
Veículo Leve,65.6,282,8,77834.0
Moto,6.5,282,8,7769.0
Ônibus,2.7,282,8,3207.0
Caminhão Leve,12.3,282,8,14539.0
Truck,0.6,282,8,678.0
Semirreboques,7.8,282,8,9197.0
Semirreboques Especiais,4.4,282,8,5271.0
Reboques,0.1,282,8,130.0
Veículo Leve,48.3,159,8,9293.0
Moto,17.1,159,8,3293.0
Ônibus,4.0,159,8,774.0
Caminhão Leve,15.2,159,8,2926.0
Truck,0.7,159,8,141.0
Semirreboques,11.8,159,8,2274.0
Semirreboques Especiais,2.6,159,8,507.0
Reboques,0.3,159,8,50.0
Veículo Leve,49.1,129,8,12240.0
Moto,2.9,129,8,726.0
Ônibus,3.9,129,8,972.0
Caminhão Leve,21.7,129,8,5414.0
Truck,0.5,129,8,130.0
Semirreboques,18.0,129,8,4502.0
Semirreboques Especiais,3.7,129,8,928.0
Reboques,0.1,129,8,31.0
Veículo Leve,62.3,171,8,74858.0
Moto,3.2,171,8,3857.0
Ônibus,2.0,171,8,2406.0
Caminhão Leve,11.0,171,8,13257.0
Truck,0.2,171,8,244.0
Semirreboques,11.5,171,8,13821.0
Semirreboques Especiais,9.5,171,8,11395.0
Reboques,0.2,171,8,264.0
Veículo Leve,43.6,260,8,15759.0
Moto,9.3,260,8,3357.0
Ônibus,1.8,260,8,659.0
Caminhão Leve,9.5,260,8,3454.0
Truck,0.2,260,8,63.0
Semirreboques,9.2,260,8,3344.0
Semirreboques Especiais,25.9,260,8,9374.0
Reboques,0.4,260,8,162.0
Veículo Leve,74.2,76,8,37554.0
Moto,8.3,76,8,4177.0
Ônibus,3.0,76,8,1493.0
Caminhão Leve,7.8,76,8,3937.0
Truck,0.4,76,8,194.0
Semirreboques,4.5,76,8,2286.0
Semirreboques Especiais,1.9,76,8,942.0
Reboques,0.0,76,8,9.0
Veículo Leve,66.4,230,8,7699.0
Moto,3.3,230,8,386.0
Ônibus,5.0,230,8,581.0
Caminhão Leve,12.2,230,8,1410.0
Truck,0.4,230,8,46.0
Semirreboques,6.2,230,8,718.0
Semirreboques Especiais,6.3,230,8,731.0
Reboques,0.3,230,8,32.0
Veículo Leve,71.7,186,8,14585.0
Moto,6.4,186,8,1310.0
Ônibus,1.8,186,8,359.0
Caminhão Leve,14.0,186,8,2854.0
Truck,0.2,186,8,35.0
Semirreboques,4.0,186,8,823.0
Semirreboques Especiais,1.8,186,8,363.0
Reboques,0.1,186,8,15.0
Veículo Leve,70.5,70,8,16727.0
Moto,5.1,70,8,1206.0
Ônibus,4.8,70,8,1148.0
Caminhão Leve,12.4,70,8,2937.0
Truck,0.2,70,8,53.0
Semirreboques,5.4,70,8,1270.0
Semirreboques Especiais,1.2,70,8,277.0
Reboques,0.4,70,8,97.0
Veículo Leve,61.9,231,8,30846.0
Moto,5.6,231,8,2805.0
Ônibus,2.4,231,8,1196.0
Caminhão Leve,13.8,231,8,6854.0
Truck,0.3,231,8,131.0
Semirreboques,9.3,231,8,4610.0
Semirreboques Especiais,6.7,231,8,3359.0
Reboques,0.1,231,8,25.0
Veículo Leve,72.0,213,8,101788.0
Moto,5.5,213,8,7799.0
Ônibus,2.8,213,8,3934.0
Caminhão Leve,7.9,213,8,11181.0
Truck,0.2,213,8,300.0
Semirreboques,7.7,213,8,10883.0
Semirreboques Especiais,3.8,213,8,5444.0
Reboques,0.1,213,8,134.0
Veículo Leve,61.5,239,8,38454.0
Moto,1.0,239,8,649.0
Ônibus,4.3,239,8,2659.0
Caminhão Leve,14.1,239,8,8789.0
Truck,0.4,239,8,247.0
Semirreboques,13.5,239,8,8456.0
Semirreboques Especiais,5.1,239,8,3168.0
Reboques,0.2,239,8,105.0
Veículo Leve,61.1,142,8,16736.0
Moto,21.6,142,8,5914.0
Ônibus,5.1,142,8,1383.0
Caminhão Leve,10.1,142,8,2775.0
Truck,0.1,142,8,24.0
Semirreboques,1.7,142,8,455.0
Semirreboques Especiais,0.3,142,8,79.0
Reboques,0.1,142,8,15.0
Veículo Leve,59.1,200,8,27104.0
Moto,5.3,200,8,2412.0
Ônibus,4.3,200,8,1965.0
Caminhão Leve,14.6,200,8,6698.0
Truck,0.2,200,8,84.0
Semirreboques,12.9,200,8,5926.0
Semirreboques Especiais,3.5,200,8,1596.0
Reboques,0.1,200,8,51.0
Veículo Leve,54.1,46,8,62912.0
Moto,1.3,46,8,1557.0
Ônibus,2.6,46,8,2981.0
Caminhão Leve,18.0,46,8,20900.0
Truck,0.3,46,8,341.0
Semirreboques,20.7,46,8,24124.0
Semirreboques Especiais,2.9,46,8,3370.0
Reboques,0.1,46,8,95.0
Veículo Leve,62.5,45,8,39927.0
Moto,4.1,45,8,2632.0
Ônibus,3.5,45,8,2245.0
Caminhão Leve,14.4,45,8,9213.0
Truck,0.3,45,8,179.0
Semirreboques,12.1,45,8,7759.0
Semirreboques Especiais,3.0,45,8,1947.0
Reboques,0.0,45,8,28.0
Veículo Leve,49.0,189,8,58496.0
Moto,1.0,189,8,1164.0
Ônibus,2.7,189,8,3220.0
Caminhão Leve,16.6,189,8,19817.0
Truck,0.5,189,8,539.0
Semirreboques,25.3,189,8,30245.0
Semirreboques Especiais,4.9,189,8,5815.0
Reboques,0.1,189,8,163.0
Veículo Leve,56.7,259,8,7300.0
Moto,30.5,259,8,3928.0
Ônibus,2.1,259,8,264.0
Caminhão Leve,7.8,259,8,1004.0
Truck,0.1,259,8,18.0
Semirreboques,1.6,259,8,208.0
Semirreboques Especiais,1.0,259,8,135.0
Reboques,0.1,259,8,9.0
Veículo Leve,48.2,191,8,47808.0
Moto,1.2,191,8,1176.0
Ônibus,2.9,191,8,2916.0
Caminhão Leve,20.3,191,8,20168.0
Truck,0.3,191,8,282.0
Semirreboques,23.6,191,8,23381.0
Semirreboques Especiais,3.5,191,8,3466.0
Reboques,0.1,191,8,74.0
