C1,C2,C3,C4,C5,M,O1,O2,O3,P1,P2,P3,R1,R2,R3,R4,R5,R6,S1,S2,S3,S4,S5,S6,SE1,SE2,SE3,SE4,SE5,day,hora,point,sentido,survey,vh
0,1,0,0,0,2,4,0,1,14,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,4,146,D,7,26
0,0,0,0,0,3,1,0,0,34,3,16,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,55,C,7,61
1,1,0,2,1,10,1,1,0,7,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,55,C,7,30
1,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,146,D,7,9
0,6,0,0,0,2,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,1,3,55,D,7,38
1,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,5,0,0,1,4,55,C,7,16
2,2,0,0,0,1,9,0,0,5,1,2,0,0,1,0,0,0,0,0,3,0,1,1,1,0,4,0,0,1,5,55,C,7,33
1,1,0,0,0,0,0,1,1,1,0,6,0,0,0,0,0,0,0,1,4,0,2,4,0,3,0,0,0,1,4,55,D,7,25
0,0,0,0,0,2,1,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,1,4,5,1,3,0,7,1,5,55,D,7,37
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,146,C,7,2
0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,146,D,7,3
0,0,0,0,1,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,146,D,7,8
0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,146,C,7,6
1,1,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,5,146,C,7,16
2,1,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,146,D,7,14
0,0,0,1,0,4,1,2,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5,146,D,7,25
