classe,percentage,point,survey,total
Caminhão Leve,10.9,257,7,1075.0
Truck,0.5,257,7,48.0
Semirreboques,12.9,257,7,1271.0
Semirreboques Especiais,7.4,257,7,729.0
Reboques,1.5,257,7,145.0
Veículo Leve,40.6,155,7,7327.0
Moto,3.4,155,7,621.0
Ônibus,2.4,155,7,434.0
Caminhão Leve,7.2,155,7,1309.0
Truck,0.3,155,7,58.0
Semirreboques,22.6,155,7,4086.0
Semirreboques Especiais,22.9,155,7,4142.0
Reboques,0.5,155,7,84.0
Veículo Leve,61.8,168,7,23820.0
Moto,1.2,168,7,455.0
Ônibus,1.5,168,7,594.0
Caminhão Leve,14.6,168,7,5648.0
Truck,0.2,168,7,60.0
Semirreboques,13.9,168,7,5370.0
Semirreboques Especiais,6.5,168,7,2489.0
Reboques,0.3,168,7,125.0
Veículo Leve,61.7,44,7,18482.0
Moto,1.3,44,7,403.0
Ônibus,1.6,44,7,481.0
Caminhão Leve,11.0,44,7,3297.0
Truck,0.2,44,7,64.0
Semirreboques,13.1,44,7,3910.0
Semirreboques Especiais,10.7,44,7,3200.0
Reboques,0.4,44,7,124.0
Veículo Leve,48.4,82,7,24796.0
Moto,10.3,82,7,5289.0
Ônibus,1.7,82,7,854.0
Caminhão Leve,9.2,82,7,4692.0
Truck,0.2,82,7,127.0
Semirreboques,8.1,82,7,4138.0
Semirreboques Especiais,20.9,82,7,10702.0
Reboques,1.3,82,7,669.0
Veículo Leve,58.1,208,7,13440.0
Moto,1.8,208,7,422.0
Ônibus,2.4,208,7,551.0
Caminhão Leve,9.2,208,7,2125.0
Truck,0.5,208,7,110.0
Semirreboques,12.2,208,7,2823.0
Semirreboques Especiais,15.8,208,7,3654.0
Reboques,0.1,208,7,19.0
Veículo Leve,55.4,47,7,91166.0
Moto,1.3,47,7,2079.0
Ônibus,3.7,47,7,6120.0
Caminhão Leve,17.4,47,7,28695.0
Truck,0.2,47,7,392.0
Semirreboques,18.0,47,7,29671.0
Semirreboques Especiais,3.7,47,7,6124.0
Reboques,0.2,47,7,290.0
Veículo Leve,65.4,106,7,140874.0
Moto,1.8,106,7,3877.0
Ônibus,2.0,106,7,4307.0
Caminhão Leve,13.3,106,7,28685.0
Truck,0.2,106,7,518.0
Semirreboques,14.5,106,7,31259.0
Semirreboques Especiais,2.5,106,7,5488.0
Reboques,0.2,106,7,411.0
Veículo Leve,77.4,287,7,332871.0
Moto,2.9,287,7,12597.0
Ônibus,1.3,287,7,5532.0
Caminhão Leve,11.5,287,7,49527.0
Truck,0.1,287,7,534.0
Semirreboques,5.8,287,7,24993.0
Semirreboques Especiais,0.9,287,7,3880.0
Reboques,0.1,287,7,314.0
Veículo Leve,68.9,212,7,63582.0
Moto,9.3,212,7,8539.0
Ônibus,1.5,212,7,1409.0
Caminhão Leve,7.3,212,7,6727.0
Truck,0.3,212,7,239.0
Semirreboques,6.1,212,7,5605.0
Semirreboques Especiais,6.5,212,7,5971.0
Reboques,0.2,212,7,195.0
Veículo Leve,52.5,77,7,21402.0
Moto,3.1,77,7,1253.0
Ônibus,5.0,77,7,2041.0
Caminhão Leve,15.7,77,7,6380.0
Truck,0.4,77,7,150.0
Semirreboques,21.2,77,7,8621.0
Semirreboques Especiais,2.1,77,7,850.0
Reboques,0.1,77,7,31.0
Veículo Leve,76.2,164,7,30874.0
Moto,3.2,164,7,1302.0
Ônibus,3.9,164,7,1595.0
Caminhão Leve,6.8,164,7,2746.0
Truck,0.2,164,7,97.0
Semirreboques,9.3,164,7,3747.0
Semirreboques Especiais,0.3,164,7,103.0
Reboques,0.1,164,7,31.0
Veículo Leve,65.3,245,7,42689.0
Moto,2.4,245,7,1572.0
Ônibus,4.6,245,7,2980.0
Caminhão Leve,11.9,245,7,7781.0
Truck,0.5,245,7,311.0
Semirreboques,14.3,245,7,9331.0
Semirreboques Especiais,1.0,245,7,668.0
Reboques,0.1,245,7,84.0
Veículo Leve,49.1,241,7,20768.0
Moto,1.9,241,7,798.0
Ônibus,4.5,241,7,1910.0
Caminhão Leve,16.7,241,7,7075.0
Truck,0.8,241,7,318.0
Semirreboques,23.9,241,7,10098.0
Semirreboques Especiais,2.6,241,7,1121.0
Reboques,0.6,241,7,239.0
Veículo Leve,52.1,81,7,10355.0
Moto,24.6,81,7,4887.0
Ônibus,0.5,81,7,101.0
Caminhão Leve,17.6,81,7,3498.0
Truck,0.2,81,7,38.0
Semirreboques,3.7,81,7,733.0
Semirreboques Especiais,1.3,81,7,251.0
Reboques,0.0,81,7,1.0
Veículo Leve,75.8,253,7,38910.0
Moto,13.8,253,7,7074.0
Ônibus,2.1,253,7,1090.0
Caminhão Leve,6.4,253,7,3294.0
Truck,0.1,253,7,52.0
Semirreboques,1.4,253,7,721.0
Semirreboques Especiais,0.3,253,7,158.0
Reboques,0.0,253,7,7.0
Veículo Leve,64.8,184,7,21080.0
Moto,2.5,184,7,815.0
Ônibus,2.0,184,7,646.0
Caminhão Leve,13.3,184,7,4332.0
Truck,0.2,184,7,76.0
Semirreboques,11.8,184,7,3841.0
Semirreboques Especiais,5.1,184,7,1646.0
Reboques,0.3,184,7,103.0
Veículo Leve,60.5,173,7,7951.0
Moto,9.3,173,7,1218.0
Ônibus,3.0,173,7,395.0
Caminhão Leve,15.0,173,7,1976.0
Truck,0.3,173,7,35.0
Semirreboques,6.2,173,7,812.0
Semirreboques Especiais,4.4,173,7,575.0
Reboques,1.4,173,7,190.0
Veículo Leve,75.6,249,7,4994.0
Moto,9.9,249,7,652.0
Ônibus,2.5,249,7,166.0
Caminhão Leve,10.7,249,7,707.0
Truck,0.0,249,7,3.0
Semirreboques,1.3,249,7,84.0
Semirreboques Especiais,0.0,249,7,2.0
Reboques,0.0,249,7,2.0
Veículo Leve,70.7,233,7,17296.0
Moto,2.6,233,7,635.0
Ônibus,1.7,233,7,406.0
Caminhão Leve,14.6,233,7,3578.0
Truck,0.2,233,7,54.0
Semirreboques,6.1,233,7,1502.0
Semirreboques Especiais,3.7,233,7,915.0
Reboques,0.3,233,7,71.0
Veículo Leve,78.4,278,7,34798.0
Moto,6.9,278,7,3044.0
Ônibus,2.5,278,7,1126.0
Caminhão Leve,7.5,278,7,3342.0
Truck,0.3,278,7,149.0
Semirreboques,4.0,278,7,1775.0
Semirreboques Especiais,0.3,278,7,136.0
Reboques,0.0,278,7,13.0
Veículo Leve,65.4,170,7,18003.0
Moto,2.1,170,7,577.0
Ônibus,1.4,170,7,374.0
Caminhão Leve,14.2,170,7,3897.0
Truck,0.3,170,7,91.0
Semirreboques,12.1,170,7,3317.0
Semirreboques Especiais,4.2,170,7,1164.0
Reboques,0.4,170,7,98.0
Veículo Leve,69.4,204,7,24725.0
Moto,5.8,204,7,2077.0
Ônibus,1.2,204,7,440.0
Caminhão Leve,16.6,204,7,5906.0
Truck,0.3,204,7,103.0
Semirreboques,5.3,204,7,1890.0
Semirreboques Especiais,1.1,204,7,391.0
Reboques,0.2,204,7,75.0
Veículo Leve,48.7,12,7,6840.0
Moto,24.2,12,7,3401.0
Ônibus,1.9,12,7,263.0
Caminhão Leve,13.3,12,7,1863.0
Truck,0.2,12,7,35.0
Semirreboques,5.7,12,7,800.0
Semirreboques Especiais,5.8,12,7,821.0
Reboques,0.1,12,7,15.0
Veículo Leve,40.3,55,7,7194.0
Moto,7.4,55,7,1329.0
Ônibus,2.4,55,7,433.0
Caminhão Leve,12.7,55,7,2268.0
Truck,0.9,55,7,157.0
Semirreboques,23.0,55,7,4108.0
Semirreboques Especiais,12.9,55,7,2297.0
Reboques,0.3,55,7,57.0
Veículo Leve,81.5,298,7,192129.0
Moto,3.3,298,7,7813.0
Ônibus,3.8,298,7,8961.0
Caminhão Leve,6.8,298,7,16109.0
Truck,0.3,298,7,647.0
Semirreboques,3.9,298,7,9254.0
Semirreboques Especiais,0.3,298,7,776.0
Reboques,0.0,298,7,79.0
Veículo Leve,66.1,31,7,107732.0
Moto,2.7,31,7,4326.0
Ônibus,2.1,31,7,3387.0
Caminhão Leve,11.9,31,7,19389.0
Truck,0.2,31,7,387.0
Semirreboques,14.2,31,7,23076.0
Semirreboques Especiais,2.7,31,7,4418.0
Reboques,0.1,31,7,150.0
