crescente,date,day,decrescente,point,survey,total
1092,07/07,6,1451,89,5,2543
1236,08/07,7,1189,89,5,2425
4124,02/07,1,3812,240,5,7936
3519,03/07,2,3296,240,5,6815
4252,04/07,3,4213,240,5,8465
4510,05/07,4,4403,240,5,8913
4436,06/07,5,3932,240,5,8368
4208,07/07,6,3998,240,5,8206
5235,08/07,7,4272,240,5,9507
454,02/07,1,471,210,5,925
417,03/07,2,426,210,5,843
358,04/07,3,446,210,5,804
406,05/07,4,429,210,5,835
414,06/07,5,389,210,5,803
480,07/07,6,498,210,5,978
427,08/07,7,507,210,5,934
1059,02/07,1,1005,235,5,2064
1083,03/07,2,1137,235,5,2220
1188,04/07,3,1233,235,5,2421
1197,05/07,4,1234,235,5,2431
1148,06/07,5,1126,235,5,2274
1155,07/07,6,1184,235,5,2339
1508,08/07,7,1336,235,5,2844
4009,02/07,1,3712,295,5,7721
3317,03/07,2,4058,295,5,7375
4089,04/07,3,4071,295,5,8160
4245,05/07,4,4105,295,5,8350
4300,06/07,5,4229,295,5,8529
4633,07/07,6,4577,295,5,9210
5474,08/07,7,5645,295,5,11119
555,02/07,1,577,267,5,1132
544,03/07,2,462,267,5,1006
543,04/07,3,619,267,5,1162
494,05/07,4,499,267,5,993
487,06/07,5,486,267,5,973
510,07/07,6,536,267,5,1046
687,08/07,7,637,267,5,1324
13522,02/07,1,11987,71,5,25509
13864,03/07,2,16150,71,5,30014
10426,04/07,3,13869,71,5,24295
10695,05/07,4,12128,71,5,22823
10970,06/07,5,10950,71,5,21920
10568,07/07,6,10827,71,5,21395
16438,08/07,7,9422,71,5,25860
9585,02/07,1,11206,264,5,20791
11536,03/07,2,9897,264,5,21433
12472,04/07,3,12414,264,5,24886
11980,05/07,4,12259,264,5,24239
11543,06/07,5,11153,264,5,22696
12397,07/07,6,12782,264,5,25179
13269,08/07,7,15031,264,5,28300
5157,02/07,1,4672,90,5,9829
4472,03/07,2,5146,90,5,9618
5136,04/07,3,6614,90,5,11750
5744,05/07,4,6160,90,5,11904
5675,06/07,5,5641,90,5,11316
5942,07/07,6,5671,90,5,11613
6790,08/07,7,5402,90,5,12192
529,02/07,1,474,266,5,1003
423,03/07,2,435,266,5,858
517,04/07,3,581,266,5,1098
445,05/07,4,460,266,5,905
465,06/07,5,429,266,5,894
425,07/07,6,461,266,5,886
505,08/07,7,403,266,5,908
10247,02/07,1,10716,299,5,20963
8683,03/07,2,9570,299,5,18253
8158,04/07,3,9691,299,5,17849
7903,05/07,4,9565,299,5,17468
7936,06/07,5,9454,299,5,17390
8326,07/07,6,8999,299,5,17325
8621,08/07,7,8903,299,5,17524
2534,02/07,1,1485,271,5,4019
1184,03/07,2,3591,271,5,4775
1185,04/07,3,1569,271,5,2754
1071,05/07,4,1047,271,5,2118
970,06/07,5,1041,271,5,2011
1123,07/07,6,1184,271,5,2307
1975,08/07,7,1406,271,5,3381
739,02/07,1,600,270,5,1339
602,03/07,2,642,270,5,1244
834,04/07,3,628,270,5,1462
659,05/07,4,509,270,5,1168
601,06/07,5,509,270,5,1110
740,07/07,6,658,270,5,1398
813,08/07,7,800,270,5,1613
22043,02/07,1,19224,93,5,41267
17319,03/07,2,15775,93,5,33094
17373,04/07,3,14878,93,5,32251
17891,05/07,4,19926,93,5,37817
18059,06/07,5,18441,93,5,36500
24141,07/07,6,22765,93,5,46906
25917,08/07,7,24914,93,5,50831
530,02/07,1,544,91,5,1074
462,03/07,2,334,91,5,796
769,04/07,3,565,91,5,1334
613,05/07,4,515,91,5,1128
598,06/07,5,591,91,5,1189
673,07/07,6,582,91,5,1255
726,08/07,7,780,91,5,1506
4190,02/07,1,3157,72,5,7347
3004,03/07,2,4679,72,5,7683
3282,04/07,3,3440,72,5,6722
3621,05/07,4,3732,72,5,7353
3591,06/07,5,3724,72,5,7315
3950,07/07,6,3571,72,5,7521
4248,08/07,7,3662,72,5,7910
2102,02/07,1,2385,232,5,4487
2043,03/07,2,1876,232,5,3919
2312,04/07,3,2503,232,5,4815
2342,05/07,4,2459,232,5,4801
2265,06/07,5,2457,232,5,4722
2408,07/07,6,2497,232,5,4905
2790,08/07,7,2749,232,5,5539
