cod_destino,cod_origem,passageiros_rodov_pred_log,passageiros_rodov_pred
1501808,1506005,0.40487728,2
1501808,1503101,1.1672816,14
1501808,1501402,2.7704728,589
1501808,1505106,0.065550864,1
1501808,1506807,1.3310785,21
1501808,1303403,0.0,1
1501808,1503903,0.019640379,1
1501808,1301902,0.0024568709,1
1501808,1302603,0.64318025,4
1501808,1501303,0.48333913,3
1501808,1507706,0.80715215,6
1501808,1600279,0.13624635,1
1501808,1505908,0.6271436,4
1501808,1505809,1.3465359,22
1501808,1504505,0.48063222,3
1501808,1502806,0.8435508,6
1501808,1600303,1.5234373,33
1501808,1500701,0.0,1
1501808,1500305,0.625262,4
1501808,1501105,0.33924824,2
1500404,1504802,1.2963246,19
1500404,1505106,0.54423946,3
1500404,1506807,2.431228,269
1500404,1303403,0.036859717,1
1500404,1503903,0.8361955,6
1500404,1301902,1.0652204,11
1500404,1302603,0.7473409,5
1500404,1502855,1.3626583,23
1506005,1504802,1.4783405,30
1506005,1501808,1.0956103,12
1506005,1503101,1.2352741,17
1506005,1501402,1.7033885,50
1506005,1505106,0.43302897,2
1506005,1506807,1.7216251,52
1506005,1303403,0.5705139,3
1506005,1503903,0.8121112,6
1506005,1301902,0.5227037,3
1506005,1302603,0.8806343,7
1506005,1600279,1.2020502,15
1506005,1505908,1.3469224,22
1506005,1507805,0.8945993,7
1506005,1508357,0.8901506,7
1600279,1504802,1.1138928,12
1600279,1506005,1.2239925,16
1600279,1501808,0.9044569,8
1600279,1503101,1.1726897,14
1600279,1501402,0.2530631,1
1600279,1506807,1.014672,10
1600279,1501303,0.43262902,2
1600279,1600303,1.7380699,54
1505908,1504802,1.1906606,15
1505908,1506005,1.0177529,10
1505908,1501808,0.76515603,5
1505908,1503101,2.0812068,120
1505908,1501402,1.6473103,44
1505908,1506807,1.099175,12
1505908,1507805,1.4921211,31
1505908,1508357,1.3766112,23
1508357,1506005,0.7370721,5
1508357,1503101,1.3794369,23
1508357,1501402,1.499027,31
1508357,1505908,1.4355794,27
1508357,1507805,1.15984,14
1508357,1508084,1.576186,37
1508357,1500305,1.0913812,12
1508357,1502509,0.548036,3
1507805,1506005,0.23328471,1
1507805,1503101,0.55480087,3
1507805,1501402,1.9651332,92
1507805,1500602,1.5375468,34
1507805,1505908,1.1035885,12
1507805,1508357,1.0219684,10
1507805,1508084,1.3108331,20
1507805,1500305,0.39213654,2
1507805,1502509,0.0,1
1500701,1501808,0.0,1
1500701,1501402,0.8431157,6
1500701,1600303,0.75277007,5
1500701,1500305,0.0,1
1600303,1501808,1.7365199,54
1600303,1501402,0.18569282,1
1600303,1600279,1.8434489,69
1600303,1505809,1.5353415,34
1600303,1504505,1.0610762,11
1600303,1500701,0.41567633,2
1600303,1500305,2.3127584,205
1600303,1600402,1.9744323,94
1600303,1600501,1.3170532,20
1600303,1600709,2.419418,262
1600303,1600550,1.4717851,29
1600303,1600535,2.4678366,293
1600303,1600212,0.80188394,6
1600303,1502509,0.6823112,4
1600303,1600055,1.8405762,69
1600303,1600253,1.310808,20
1600303,1600154,2.0847743,121
1600303,1600204,1.5145994,32
1600303,1600105,2.2154322,164
1600303,1600238,2.3401473,218
1501303,1501808,0.92972714,8
1501303,1501402,3.5086899,3226
1501303,1504604,0.499522,3
1501303,1503309,2.2295134,169
1501303,1502103,1.5429533,34
1501303,1500107,2.2875469,193
1501303,1505205,1.0427729,11
1501303,1501204,1.2655115,18
1501303,1600279,0.67616165,4
1501303,1504901,0.9400201,8
1501303,1505809,1.0267078,10
1501303,1501105,0.024364859,1
1500305,1501808,0.8330409,6
1500305,1501402,1.4699303,29
1500305,1507805,0.6265882,4
1500305,1508357,0.72569793,5
1500305,1600303,1.6423595,43
1500305,1500701,0.0,1
1500305,1502509,0.39255452,2
1501105,1501808,1.046913,11
1501105,1501402,2.053806,113
1501105,1501303,0.09644949,1
1501105,1507706,0.0,1
1501105,1502806,0.9646088,9
1504505,1501808,1.3760769,23
1504505,1501402,2.642801,439
1504505,1505809,1.5809486,38
1504505,1502806,0.93966067,8
1504505,1600303,1.2542683,17
1502806,1501808,1.2500372,17
1502806,1501402,2.7616928,577
1502806,1505205,1.3852959,24
1502806,1507706,0.6381371,4
1502806,1505809,0.6600066,4
1502806,1504505,0.35487875,2
1502806,1501105,0.5930572,3
1505809,1501808,1.982357,96
1505809,1501402,1.8128229,64
1505809,1501303,0.48509067,3
1505809,1504505,1.2305726,17
1505809,1502806,1.0403452,10
1505809,1600303,1.3579307,22
1507706,1501808,1.1095413,12
1507706,1501402,1.7966666,62
1507706,1505205,1.2317946,17
1507706,1502806,1.2851915,19
1507706,1501105,0.04808621,1
1501204,1501402,2.4749658,298
1501204,1504604,0.49705493,3
1501204,1501303,0.4997921,3
1501204,1503309,1.3769103,23
1501204,1508100,0.77681696,5
1501204,1502103,1.501238,31
1501204,1500107,1.0934058,12
1502103,1501402,2.5368361,344
1502103,1504604,1.1072347,12
1502103,1501303,0.96517944,9
1502103,1503309,1.7031014,50
1502103,1508100,1.581868,38
1502103,1500107,1.6246599,42
1502103,1505205,1.235228,17
1502103,1504000,0.50140953,3
1502103,1501204,1.4481614,28
2304400,1501402,3.5708008,3722
2304400,5103403,1.0194131,10
2304400,2311603,2.7841756,608
2304400,2310951,1.8806428,75
2304400,2308104,2.7217252,526
2304400,2604304,1.8963503,78
2304400,2309607,1.7913043,61
2304400,2304905,1.6358464,43
2304400,2307106,2.4361756,273
2304400,3509502,0.5736765,3
2304400,2311207,2.2359514,172
2304400,2309904,2.0679495,116
2304400,2311702,2.7016861,503
2304400,2313955,2.7446458,555
2304400,2304657,2.096578,124
2304400,2309003,2.629189,425
2304400,2306702,2.558256,361
2304400,2307502,2.4129984,258
2304400,2310605,2.3352234,216
2304400,2308807,2.3670895,232
2304400,2309201,2.0250268,105
2304400,2307205,2.0821867,120
2304400,2305357,2.4080045,255
2304400,2308005,3.2469134,1765
2304400,2306207,1.9437604,87
2304400,2308377,1.6562514,45
2304400,2310506,2.4277048,267
2304400,2310407,2.6257532,422
2304400,2305233,2.228191,169
2304400,2306108,2.7607458,576
2304400,2306306,2.966073,924
2304400,2310001,2.143221,139
2304400,2313807,3.340386,2189
2304400,2312304,3.29511,1972
2304400,2305704,2.6067026,404
2304400,2311009,2.0133843,103
2304400,2304608,2.4188094,262
2304400,2307403,3.0058224,1013
2304400,2307007,2.3635454,230
2304400,2311108,2.4506145,282
2304400,2305100,3.0794966,1200
2304400,2312205,3.1283655,1343
2304400,2304509,1.9663001,92
2304400,2310902,2.9597442,911
2304400,2313351,2.554782,358
2304400,2310704,3.0791082,1199
2304400,2314003,2.8483577,705
2304400,2305209,2.7300773,537
2304400,2305001,3.022507,1053
2304400,2310803,3.0945456,1243
2304400,2312700,2.5181558,329
2304400,2313005,2.6649992,462
2304400,2313203,2.905206,803
2304400,2309458,3.0328965,1078
2304400,2309805,2.5934381,392
2304400,2313906,2.2940962,196
2304400,2304459,2.636444,432
2304400,2313500,3.2920012,1958
2304400,2312809,1.80927,64
2304400,2308401,2.4707546,295
2304400,2311504,2.2504556,178
2304400,2305266,3.4565456,2861
2304400,2305308,2.6571522,454
2304400,2305902,3.287233,1937
2304400,2305803,3.3374245,2174
2304400,2308609,2.8513267,710
2304400,2307908,1.8403412,69
2304400,2305654,2.6253448,422
2304400,2305506,3.7215695,5267
2304400,2308302,3.0921803,1236
2304400,2306801,1.9737077,94
2304400,2310308,2.706953,509
2304400,2313609,2.261515,182
2304400,2314102,2.8745472,749
2304400,2309300,2.6439648,440
2304400,2305605,2.5464149,351
2304400,2304707,2.255029,179
2304400,2310100,2.1598318,144
2304400,2304954,2.9008477,795
2304400,2308351,1.8507804,70
2304400,2312908,4.100276,12597
2304400,5105606,1.072909,11
2304400,2311405,2.837737,688
2304400,2308500,3.0450046,1109
2304400,2306603,1.9988606,99
2304400,2307254,2.7291923,536
2304400,2310258,3.0436652,1105
2304400,2313401,3.4656408,2921
2304400,2307809,2.3395474,218
2304400,2306009,2.8825552,763
2304400,2309409,2.3287938,213
2304400,2311900,2.111298,129
2304400,2305407,2.8118074,648
2304400,2313104,3.072033,1180
2304400,2307601,3.5666254,3686
2304400,2919553,1.8404392,69
2304400,2507507,3.7956135,6246
2304400,2305332,1.7108386,51
2304400,2308906,2.4379086,274
2304400,2312601,2.8238008,666
2304400,2309508,2.976168,946
2304400,3550308,3.6459312,4425
2304400,2310209,3.2488554,1773
2304400,2312007,2.1651,146
2304400,2313559,3.2836912,1921
2304400,2311306,3.180483,1515
2304400,2306405,3.4620876,2897
2304400,2313757,2.6339178,430
2304400,2311264,3.0335107,1080
2304400,3170206,2.5477629,352
2304400,2306553,2.4745378,298
2304400,2310852,2.4221976,264
2304400,2311801,3.4988086,3153
2304400,2306504,2.8043706,637
2304400,2311231,2.2958806,197
2304400,2611606,4.2948494,19717
2304400,2307304,4.0004683,10010
2304400,2313302,3.4397264,2752
2304400,5104104,1.891995,77
2304400,5104559,1.0747231,11
2304400,2917508,2.6688726,466
2304400,2913200,1.7978817,62
2304400,2929909,2.2986403,198
2304400,5204953,0.82438236,6
2304400,5208707,2.782602,606
2304400,2800308,2.9735203,940
2304400,2306900,2.734651,542
2304400,2312502,1.7703636,58
2304400,5101803,0.8738525,7
2304400,5200803,1.1688961,14
2304400,3103504,1.4416279,27
2304400,2921708,1.0832443,12
2304400,2309102,2.3988667,250
2304400,2930105,2.3134363,205
2304400,2905305,1.504765,31
2304400,2308708,3.1011329,1262
2304400,3170107,1.5943769,39
2304400,5210208,1.1494039,14
2304400,5300108,3.1109805,1291
2304400,2312403,2.9434683,877
2304400,2408003,4.093218,12394
2304400,2604106,3.4473727,2801
2304400,2611101,3.5150292,3273
2304400,5205109,1.3958933,24
2304400,2918001,0.8053257,6
2304400,3133303,0.8043417,6
2304400,2402006,3.2724385,1872
2304400,2906873,2.4628546,290
2304400,2307635,2.7504203,562
2304400,3125952,0.68050945,4
2304400,2408102,4.494182,31201
2304400,2612604,2.1952202,156
2304400,2909703,1.191534,15
2304400,5201108,1.8546554,71
2304400,5102678,0.9694591,9
2304400,5211800,0.783908,6
2304400,3168606,1.9907831,97
2304400,2606002,2.9342053,859
2304400,5221601,0.86614037,7
2304400,3106200,2.8738842,747
2304400,5218003,0.8115989,6
2304400,2614105,1.9697856,93
2304400,3304557,3.3017786,2003
2304400,5107909,1.1254641,13
2304400,2928802,1.2597609,18
2304400,2601201,2.9165406,825
2304400,2706307,2.4168894,261
2304400,2704302,3.128899,1345
2304400,2400802,2.140228,138
2304400,2406700,2.3405411,219
2304400,2603009,1.8864982,77
2304400,2612208,3.0556526,1136
2304400,5106190,0.54970235,3
2304400,4209102,1.8617873,72
2304400,5107040,0.98230815,9
2304400,2409308,2.9193087,830
2304400,2513406,1.4254432,26
2304400,5105259,0.68898374,4
2304400,2504009,3.6354463,4319
2304400,2606200,2.2948568,197
2304400,2510808,3.2243204,1676
2304400,4208203,2.1772332,150
2304400,2903201,2.5445135,350
2304400,4205407,1.342294,21
2304400,2609907,2.813136,650
2304400,3549904,2.091442,123
2304400,2613909,2.7540438,567
2304400,4303509,0.2651652,1
2304400,2400208,3.1372612,1371
2304400,3127701,2.0691772,117
