"index","cod_mun_origem","cod_mun_destino","totalCost","cod_nos","costs"
"0","1302603","2506004","-3.2815347480603427E-6","[1302603,2611606,2507507,2506004]","[-1.0,-0.035528946555775966,-9.224047011912438E-4,-3.2815347480603427E-6]"
"0","1302603","4307450","-2.3053991181101057E-8","[1302603,1200401,1200203,4321907,4307450]","[-1.0,-0.01469179677481825,-0.0012958421166526495,-2.270454120951384E-6,-2.3053991181101057E-8]"
"0","1302603","4107520","-2.4538240963815737E-7","[1302603,3509502,4128104,4107520]","[-1.0,-0.05683453802228631,-2.204592550905955E-5,-2.4538240963815737E-7]"
"0","1302603","1707405","-1.6406904055752147E-8","[1302603,1501402,1505536,1702554,1707405]","[-1.0,-0.09169026321712141,-0.0010852544004188588,-2.63987086257052E-6,-1.6406904055752147E-8]"
"0","1302603","2203701","-6.322444764910168E-5","[1302603,2304400,2203701]","[-1.0,-0.07287081477449374,-6.322444764910168E-5]"
"0","1302603","2104008","-8.720620258020799E-7","[1302603,1501402,2108454,2104008]","[-1.0,-0.09169026321712141,-6.637915498206133E-5,-8.720620258020799E-7]"
"0","1302603","4107546","-5.906495675321845E-8","[1302603,3509502,4209102,4120903,4107546]","[-1.0,-0.05683453802228631,-5.748810249136478E-4,-8.925371242708566E-7,-5.906495675321845E-8]"
"0","1302603","1100098","-5.9565023935658825E-6","[1302603,1100205,1100098]","[-1.0,-0.06429558408659106,-5.9565023935658825E-6]"
"0","1302603","3124302","-2.2729588925973603E-5","[1302603,3509502,3124302]","[-1.0,-0.05683453802228631,-2.2729588925973603E-5]"
"0","1302603","2403509","-3.2460244458127086E-7","[1302603,2304400,2408102,2403509]","[-1.0,-0.07287081477449374,-4.5818729218189915E-4,-3.2460244458127086E-7]"
"0","1302603","3124401","-3.4667416323255933E-7","[1302603,3509502,3152501,3124401]","[-1.0,-0.05683453802228631,-1.2028924639417591E-4,-3.4667416323255933E-7]"
"0","1302603","3515186","-2.7461960370326697E-5","[1302603,3509502,3515186]","[-1.0,-0.05683453802228631,-2.7461960370326697E-5]"
"0","1302603","3515194","-6.06016351582132E-8","[1302603,5300108,3550308,3506003,3515194]","[-1.0,-0.1850985821133786,-0.023007617858019077,-7.411252403443212E-5,-6.06016351582132E-8]"
"0","1302603","2910602","-4.115288428538312E-6","[1302603,3304557,2910602]","[-1.0,-0.06165569274412616,-4.115288428538312E-6]"
"0","1302603","4307500","-2.0392211464051597E-6","[1302603,3509502,4314100,4307500]","[-1.0,-0.05683453802228631,-5.578160757278192E-4,-2.0392211464051597E-6]"
"0","1302603","2802106","-1.8623283910943357E-6","[1302603,5300108,3550308,2802106]","[-1.0,-0.1850985821133786,-0.023007617858019077,-1.8623283910943357E-6]"
"0","1302603","3124500","-1.8940689171787244E-6","[1302603,5300108,3550308,3110608,3124500]","[-1.0,-0.1850985821133786,-0.023007617858019077,-9.796184410168169E-6,-1.8940689171787244E-6]"
"0","1302603","3515202","-1.1631156833213054E-6","[1302603,3509502,3515202]","[-1.0,-0.05683453802228631,-1.1631156833213054E-6]"
"0","1302603","3124609","-1.1882554667832475E-6","[1302603,3304557,3124609]","[-1.0,-0.06165569274412616,-1.1882554667832475E-6]"
"0","1302603","2702553","-2.4968718977994696E-7","[1302603,2611606,2706307,2702553]","[-1.0,-0.035528946555775966,-1.1335114341517043E-5,-2.4968718977994696E-7]"
"0","1302603","5207501","-1.165910315942202E-5","[1302603,5300108,5207501]","[-1.0,-0.1850985821133786,-1.165910315942202E-5]"
"0","1302603","3124807","-2.993270649546407E-6","[1302603,5300108,3124807]","[-1.0,-0.1850985821133786,-2.993270649546407E-6]"
"0","1302603","4307815","-5.30938684259312E-8","[1302603,5300108,5201108,4311239,4320701,4307815]","[-1.0,-0.1850985821133786,-9.276208538832069E-4,-1.8281546245758763E-5,-6.093848748586254E-6,-5.30938684259312E-8]"
"0","1302603","2910701","-6.397364872876846E-6","[1302603,5300108,3550308,2910701]","[-1.0,-0.1850985821133786,-0.023007617858019077,-6.397364872876846E-6]"
"0","1302603","3515350","-7.885517378865553E-7","[1302603,3509502,4117107,3515350]","[-1.0,-0.05683453802228631,-4.066465518787465E-6,-7.885517378865553E-7]"
"0","1302603","4307831","-1.5315604583594698E-8","[1302603,5300108,4314902,4317509,4307831]","[-1.0,-0.1850985821133786,-0.0062630315928680486,-2.021997267508376E-5,-1.5315604583594698E-8]"
"0","1302603","3124906","-1.562719460214482E-5","[1302603,3304557,3124906]","[-1.0,-0.06165569274412616,-1.562719460214482E-5]"
"0","1302603","2910727","-2.4479872502613114E-5","[1302603,5300108,2925303,2910727]","[-1.0,-0.1850985821133786,-0.002251797738924852,-2.4479872502613114E-5]"
"0","1302603","3125101","-1.3850843251765162E-6","[1302603,3509502,3125101]","[-1.0,-0.05683453802228631,-1.3850843251765162E-6]"
"0","1302603","2605301","-1.571540478998991E-5","[1302603,2304400,2307304,2605301]","[-1.0,-0.07287081477449374,-0.0010537407941516948,-1.571540478998991E-5]"
"0","1302603","2506103","-3.6763048211064767E-7","[1302603,2611606,2504009,2506103]","[-1.0,-0.035528946555775966,-3.7258911706578295E-4,-3.6763048211064767E-7]"
"0","1302603","5207535","-4.706859058842859E-6","[1302603,5300108,5208707,5207535]","[-1.0,-0.1850985821133786,-0.005914367892102353,-4.706859058842859E-6]"
"0","1302603","3125200","-2.967388896995763E-7","[1302603,3509502,3101607,3125200]","[-1.0,-0.05683453802228631,-4.001650675365743E-5,-2.967388896995763E-7]"
"0","1302603","3125309","-1.5044306434980575E-7","[1302603,3304557,3113305,3125309]","[-1.0,-0.06165569274412616,-1.8085466232967042E-5,-1.5044306434980575E-7]"
"0","1302603","2304301","-1.1377201363801032E-5","[1302603,2304400,2304301]","[-1.0,-0.07287081477449374,-1.1377201363801032E-5]"
"0","1302603","4107553","-7.111800088062515E-8","[1302603,3509502,4104303,4107553]","[-1.0,-0.05683453802228631,-2.6281087195656973E-5,-7.111800088062515E-8]"
"0","1302603","3515400","-2.991522981169634E-7","[1302603,5300108,3550308,3515400]","[-1.0,-0.1850985821133786,-0.023007617858019077,-2.991522981169634E-7]"
"0","1302603","2203750","-2.405289374202574E-8","[1302603,2304400,2210607,2203750]","[-1.0,-0.07287081477449374,-7.198229333863569E-6,-2.405289374202574E-8]"
"0","1302603","1707553","-1.528676972139241E-5","[1302603,5300108,5201108,1707553]","[-1.0,-0.1850985821133786,-9.276208538832069E-4,-1.528676972139241E-5]"
"0","1302603","2910750","-1.4206744538472762E-6","[1302603,5300108,2800308,2910750]","[-1.0,-0.1850985821133786,-0.001719456066482445,-1.4206744538472762E-6]"
"0","1302603","5003801","-7.622661322405082E-6","[1302603,3509502,5003702,5003801]","[-1.0,-0.05683453802228631,-3.3101739622583894E-4,-7.622661322405082E-6]"
"0","1302603","4107603","-1.258749363173913E-6","[1302603,3509502,4113700,4107603]","[-1.0,-0.05683453802228631,-6.42616975662184E-4,-1.258749363173913E-6]"
"0","1302603","4308003","-7.959181183389082E-7","[1302603,5300108,4314902,4316907,4308003]","[-1.0,-0.1850985821133786,-0.0062630315928680486,-5.564990053040039E-5,-7.959181183389082E-7]"
"0","1302603","4205308","-7.738671591820037E-7","[1302603,3509502,4204202,4205308]","[-1.0,-0.05683453802228631,-5.627082645943081E-4,-7.738671591820037E-7]"
"0","1302603","4308052","-2.0173960510739704E-9","[1302603,3509502,4115200,4310504,4308052]","[-1.0,-0.05683453802228631,-6.746070963263571E-4,-1.8728160007470027E-6,-2.0173960510739704E-9]"
"0","1302603","5207600","-4.946730191326791E-6","[1302603,5300108,5208707,5207600]","[-1.0,-0.1850985821133786,-0.005914367892102353,-4.946730191326791E-6]"
"0","1302603","1200302","-4.788102361333609E-6","[1302603,1200401,1200302]","[-1.0,-0.01469179677481825,-4.788102361333609E-6]"
"0","1302603","2910776","-2.1141282210083018E-6","[1302603,5300108,2910776]","[-1.0,-0.1850985821133786,-2.1141282210083018E-6]"
"0","1302603","2910800","-5.5388154240890634E-5","[1302603,5300108,2927408,2910800]","[-1.0,-0.1850985821133786,-0.00656591709146201,-5.5388154240890634E-5]"
"0","1302603","2702603","-4.3204716549970533E-7","[1302603,2611606,2700300,2702603]","[-1.0,-0.035528946555775966,-3.244969629768086E-5,-4.3204716549970533E-7]"
"0","1302603","2605400","-1.1987990358188696E-6","[1302603,2611606,2604007,2605400]","[-1.0,-0.035528946555775966,-1.719028719792826E-5,-1.1987990358188696E-6]"
"0","1302603","2802205","-1.062935879361855E-6","[1302603,5300108,2800308,2802205]","[-1.0,-0.1850985821133786,-0.001719456066482445,-1.062935879361855E-6]"
"0","1302603","2104073","-2.9194924563001402E-8","[1302603,2304400,2101400,2104073]","[-1.0,-0.07287081477449374,-6.178480178232897E-6,-2.9194924563001402E-8]"
"0","1302603","3125408","-3.203220793476541E-8","[1302603,5300108,3550308,3121605,3125408]","[-1.0,-0.1850985821133786,-0.023007617858019077,-1.1387449920809103E-5,-3.203220793476541E-8]"
"0","1302603","2403707","-1.1057590308130238E-6","[1302603,2304400,2408003,2403707]","[-1.0,-0.07287081477449374,-2.1596687509739003E-4,-1.1057590308130238E-6]"
"0","1302603","3125606","-4.2842343338478185E-8","[1302603,3304557,3106200,3125606]","[-1.0,-0.06165569274412616,-6.238559229138065E-4,-4.2842343338478185E-8]"
"0","1302603","3125705","-4.7287441078319984E-7","[1302603,5300108,3169356,3125705]","[-1.0,-0.1850985821133786,-2.6625456407154058E-5,-4.7287441078319984E-7]"
"0","1302603","4308102","-4.8518557577782585E-6","[1302603,3509502,4305108,4308102]","[-1.0,-0.05683453802228631,-2.1609979096455918E-4,-4.8518557577782585E-6]"
"0","1302603","2702702","-1.386454938553735E-7","[1302603,2611606,2704302,2702702]","[-1.0,-0.035528946555775966,-3.34729835165116E-4,-1.386454938553735E-7]"
"0","1302603","5103700","-5.293588509914767E-7","[1302603,1503606,5107909,5103700]","[-1.0,-0.003107024531689164,-4.994967840443692E-4,-5.293588509914767E-7]"
"0","1302603","4107702","-2.1901666834511486E-7","[1302603,3509502,4115200,4107702]","[-1.0,-0.05683453802228631,-6.746070963263571E-4,-2.1901666834511486E-7]"
"0","1302603","4107736","-3.4420161593064605E-8","[1302603,3509502,4119905,4107736]","[-1.0,-0.05683453802228631,-9.467406512408457E-5,-3.4420161593064605E-8]"
"0","1302603","3125804","-1.9391086454647506E-7","[1302603,5300108,3127701,3125804]","[-1.0,-0.1850985821133786,-6.426112513361868E-5,-1.9391086454647506E-7]"
"0","1302603","2605459","-0.0011714019853333135","[1302603,2611606,2605459]","[-1.0,-0.035528946555775966,-0.0011714019853333135]"
"0","1302603","2104081","-2.6825017640752345E-9","[1302603,5300108,2101608,2104081]","[-1.0,-0.1850985821133786,-2.6583592481985575E-6,-2.6825017640752345E-9]"
"0","1302603","2403756","-6.809461856306359E-7","[1302603,2304400,2400802,2403756]","[-1.0,-0.07287081477449374,-3.5791195854488304E-6,-6.809461856306359E-7]"
"0","1302603","3515608","-4.846542358418813E-8","[1302603,3509502,3531308,3515608]","[-1.0,-0.05683453802228631,-1.2474637672262854E-5,-4.846542358418813E-8]"
"0","1302603","3515657","-1.1433254573180199E-7","[1302603,3509502,3516705,3515657]","[-1.0,-0.05683453802228631,-7.227298978805668E-6,-1.1433254573180199E-7]"
"0","1302603","1600238","-1.3731348137039937E-5","[1302603,1501402,1600303,1600238]","[-1.0,-0.09169026321712141,-0.01093146254976696,-1.3731348137039937E-5]"
"0","1302603","2605509","-4.304736663627202E-7","[1302603,2611606,2615300,2605509]","[-1.0,-0.035528946555775966,-1.049866107631544E-5,-4.304736663627202E-7]"
"0","1302603","3125903","-2.423405279752301E-7","[1302603,3304557,3106200,3125903]","[-1.0,-0.06165569274412616,-6.238559229138065E-4,-2.423405279752301E-7]"
"0","1302603","3125952","-3.052399364213847E-7","[1302603,3304557,3125952]","[-1.0,-0.06165569274412616,-3.052399364213847E-7]"
"0","1302603","4107751","-2.477170043104154E-6","[1302603,3509502,4107751]","[-1.0,-0.05683453802228631,-2.477170043104154E-6]"
"0","1302603","5003900","-1.591186475470462E-7","[1302603,5300108,5002704,5003900]","[-1.0,-0.1850985821133786,-0.001889109623227715,-1.591186475470462E-7]"
"0","1302603","1707652","-5.232990646060153E-7","[1302603,5300108,1707652]","[-1.0,-0.1850985821133786,-5.232990646060153E-7]"
"0","1302603","5103809","-6.278608478721258E-7","[1302603,1100205,5103403,5103809]","[-1.0,-0.06429558408659106,-0.001972699542711227,-6.278608478721258E-7]"
"0","1302603","2910859","-1.212675227815892E-6","[1302603,5300108,2906873,2910859]","[-1.0,-0.1850985821133786,-8.274404809550313E-5,-1.212675227815892E-6]"
"0","1302603","2910909","-3.3836411079378025E-7","[1302603,5300108,3550308,2917102,2910909]","[-1.0,-0.1850985821133786,-0.023007617858019077,-3.599658873585809E-6,-3.3836411079378025E-7]"
"0","1302603","5207808","-1.7402895428170946E-6","[1302603,5300108,5208707,5207808]","[-1.0,-0.1850985821133786,-0.005914367892102353,-1.7402895428170946E-6]"
"0","1302603","2702801","-9.243032923691566E-8","[1302603,2611606,2704302,2702801]","[-1.0,-0.035528946555775966,-3.34729835165116E-4,-9.243032923691566E-8]"
"0","1302603","4107850","-4.54268124168626E-8","[1302603,5300108,4124400,4107850]","[-1.0,-0.1850985821133786,-2.0638915108061242E-5,-4.54268124168626E-8]"
"0","1302603","3515806","-1.1993516021167994E-5","[1302603,3509502,3541406,3515806]","[-1.0,-0.05683453802228631,-4.2413768085693707E-4,-1.1993516021167994E-5]"
"0","1302603","4107801","-9.019910953478404E-7","[1302603,3509502,4115200,4107801]","[-1.0,-0.05683453802228631,-6.746070963263571E-4,-9.019910953478404E-7]"
"0","1302603","2403806","-1.2747028582152152E-7","[1302603,2304400,2408102,2413003,2403806]","[-1.0,-0.07287081477449374,-4.5818729218189915E-4,-8.498019054768102E-7,-1.2747028582152152E-7]"
"0","1302603","3515905","-2.4813794171335076E-7","[1302603,3509502,3549805,3515905]","[-1.0,-0.05683453802228631,-9.614616115686833E-4,-2.4813794171335076E-7]"
"0","1302603","2605608","-4.3957121426905284E-7","[1302603,5300108,2605608]","[-1.0,-0.1850985821133786,-4.3957121426905284E-7]"
"0","1302603","4308201","-1.54532443856871E-5","[1302603,3509502,4305108,4308201]","[-1.0,-0.05683453802228631,-2.1609979096455918E-4,-1.54532443856871E-5]"
"0","1302603","5207907","-2.62905174999421E-7","[1302603,5300108,5208004,5207907]","[-1.0,-0.1850985821133786,-3.810873108086845E-4,-2.62905174999421E-7]"
"0","1302603","2203800","-1.6696398842280163E-6","[1302603,5300108,2205102,2203800]","[-1.0,-0.1850985821133786,-1.3249932315824306E-4,-1.6696398842280163E-6]"
"0","1302603","2605707","-1.3028274978155732E-6","[1302603,2611606,2704302,2605707]","[-1.0,-0.035528946555775966,-3.34729835165116E-4,-1.3028274978155732E-6]"
"0","1302603","2911006","-2.398272336352224E-7","[1302603,5300108,2913606,2911006]","[-1.0,-0.1850985821133786,-3.5295475309546516E-4,-2.398272336352224E-7]"
"0","1302603","1503044","-2.8390441395843775E-7","[1302603,1501402,1508407,1503044]","[-1.0,-0.09169026321712141,-3.717033641049461E-5,-2.8390441395843775E-7]"
"0","1302603","2203859","-3.2917737968248595E-7","[1302603,5300108,2207009,2203859]","[-1.0,-0.1850985821133786,-1.5127529359630688E-4,-3.2917737968248595E-7]"
"0","1302603","3126000","-1.1100061683151165E-6","[1302603,3304557,3106200,3126000]","[-1.0,-0.06165569274412616,-6.238559229138065E-4,-1.1100061683151165E-6]"
"0","1302603","4108007","-6.570500050353446E-7","[1302603,3509502,4115200,4108007]","[-1.0,-0.05683453802228631,-6.746070963263571E-4,-6.570500050353446E-7]"
"0","1302603","4308250","-1.7368175689257834E-8","[1302603,3509502,4314100,4308904,4308250]","[-1.0,-0.05683453802228631,-5.578160757278192E-4,-8.51325332965261E-7,-1.7368175689257834E-8]"
"0","1302603","4108106","-1.3668427995905333E-6","[1302603,3509502,4115200,4108106]","[-1.0,-0.05683453802228631,-6.746070963263571E-4,-1.3668427995905333E-6]"
"0","1302603","3516002","-1.3229331054570573E-6","[1302603,3509502,3516002]","[-1.0,-0.05683453802228631,-1.3229331054570573E-6]"
"0","1302603","3516101","-1.4809635562300715E-6","[1302603,3509502,4113700,3516101]","[-1.0,-0.05683453802228631,-6.42616975662184E-4,-1.4809635562300715E-6]"
"0","1302603","1301605","-3.2058160044802915E-5","[1302603,1301605]","[-1.0,-3.2058160044802915E-5]"
"0","1302603","4308300","-5.601515751859954E-7","[1302603,5300108,4314902,4308300]","[-1.0,-0.1850985821133786,-0.0062630315928680486,-5.601515751859954E-7]"
"0","1302603","3126109","-3.014202612130648E-5","[1302603,5300108,3126109]","[-1.0,-0.1850985821133786,-3.014202612130648E-5]"
"0","1302603","4308409","-8.245540218674626E-7","[1302603,5300108,4314902,4308409]","[-1.0,-0.1850985821133786,-0.0062630315928680486,-8.245540218674626E-7]"
