cod_mun_origem,cod_mun_destino,passageiros_rodov,passageiros_aereo,passageiros_total,prob_rodov,prob_aereo,prob_total
1100114,3131307,185.0,0.0,185.0,0.13962264150943396,0.0,0.13962264150943396
1100114,3134202,3.0,0.0,3.0,0.0022641509433962265,0.0,0.0022641509433962265
1100114,3136207,107.0,0.0,107.0,0.08075471698113207,0.0,0.08075471698113207
1100114,3139607,231.0,0.0,231.0,0.17433962264150943,0.0,0.17433962264150943
1100114,3503208,1.0,0.0,1.0,0.0007547169811320754,0.0,0.0007547169811320754
1100114,3543907,2.0,0.0,2.0,0.0015094339622641509,0.0,0.0015094339622641509
1100114,3548906,1.0,0.0,1.0,0.0007547169811320754,0.0,0.0007547169811320754
1100114,4104303,1.0,0.0,1.0,0.0007547169811320754,0.0,0.0007547169811320754
1100114,4119905,1.0,0.0,1.0,0.0007547169811320754,0.0,0.0007547169811320754
1100114,4208203,2.0,0.0,2.0,0.0015094339622641509,0.0,0.0015094339622641509
1100114,4209102,1.0,0.0,1.0,0.0007547169811320754,0.0,0.0007547169811320754
1100114,5102504,37.0,0.0,37.0,0.027924528301886794,0.0,0.027924528301886794
1100114,5102678,34.0,0.0,34.0,0.025660377358490565,0.0,0.025660377358490565
1100114,5103304,47.0,0.0,47.0,0.03547169811320755,0.0,0.03547169811320755
1100114,5103403,198.0,0.0,198.0,0.14943396226415095,0.0,0.14943396226415095
1100114,5106752,32.0,0.0,32.0,0.024150943396226414,0.0,0.024150943396226414
1100114,5107602,14.0,0.0,14.0,0.010566037735849057,0.0,0.010566037735849057
1100114,5201108,29.0,0.0,29.0,0.02188679245283019,0.0,0.02188679245283019
1100114,5201702,17.0,0.0,17.0,0.012830188679245283,0.0,0.012830188679245283
1100114,5208707,138.0,0.0,138.0,0.10415094339622641,0.0,0.10415094339622641
1100114,5213103,3.0,0.0,3.0,0.0022641509433962265,0.0,0.0022641509433962265
