cod_origem,cod_destino,passageiros_rodov,passageiros_aereo,passageiros_total,prob_rodov,prob_aereo,prob_total
3550100,3505302,210.0,0.0,210.0,0.027925531914893616,0.0,0.027925531914893616
3550100,3506003,211.0,0.0,211.0,0.02805851063829787,0.0,0.02805851063829787
3550100,3507001,69.0,0.0,69.0,0.009175531914893616,0.0,0.009175531914893616
3550100,3522307,31.0,0.0,31.0,0.004122340425531915,0.0,0.004122340425531915
3550100,3529005,67.0,0.0,67.0,0.008909574468085107,0.0,0.008909574468085107
3550100,3538709,663.0,0.0,663.0,0.08816489361702128,0.0,0.08816489361702128
3550100,3550308,1306.0,0.0,1306.0,0.17367021276595745,0.0,0.17367021276595745
3550100,3550407,140.0,0.0,140.0,0.018617021276595744,0.0,0.018617021276595744
3550100,3552205,292.0,0.0,292.0,0.038829787234042554,0.0,0.038829787234042554
3550209,3522307,657.0,0.0,657.0,0.15215377489578508,0.0,0.15215377489578508
3550209,3550308,2109.0,0.0,2109.0,0.4884205650764243,0.0,0.4884205650764243
3550209,3552205,1524.0,0.0,1524.0,0.35294117647058826,0.0,0.35294117647058826
3550506,3534708,13.0,0.0,13.0,0.2653061224489796,0.0,0.2653061224489796
3550704,3304557,2156.0,0.0,2156.0,0.68992,0.0,0.68992
3550803,3509502,78.0,0.0,78.0,0.019504876219054765,0.0,0.019504876219054765
3550803,3530706,65.0,0.0,65.0,0.01625406351587897,0.0,0.01625406351587897
3550803,3549102,205.0,0.0,205.0,0.05126281570392598,0.0,0.05126281570392598
3550803,3550308,162.0,0.0,162.0,0.04051012753188297,0.0,0.04051012753188297
3550902,3509502,846.0,0.0,846.0,0.23565459610027856,0.0,0.23565459610027856
3550902,3526704,146.0,0.0,146.0,0.040668523676880224,0.0,0.040668523676880224
3550902,3543402,971.0,0.0,971.0,0.2704735376044568,0.0,0.2704735376044568
3550902,3550308,602.0,0.0,602.0,0.16768802228412255,0.0,0.16768802228412255
3551009,3106200,85.0,0.0,85.0,0.13709677419354838,0.0,0.13709677419354838
3551009,3136702,8.0,0.0,8.0,0.012903225806451613,0.0,0.012903225806451613
3551009,3304201,16.0,0.0,16.0,0.025806451612903226,0.0,0.025806451612903226
3551009,3304557,364.0,0.0,364.0,0.5870967741935483,0.0,0.5870967741935483
3551009,3306008,1.0,0.0,1.0,0.0016129032258064516,0.0,0.0016129032258064516
3551009,4106902,131.0,0.0,131.0,0.21129032258064517,0.0,0.21129032258064517
3551009,4205407,9.0,0.0,9.0,0.014516129032258065,0.0,0.014516129032258065
3551009,4208203,2.0,0.0,2.0,0.0032258064516129032,0.0,0.0032258064516129032
3551009,4209102,4.0,0.0,4.0,0.0064516129032258064,0.0,0.0064516129032258064
3551108,3522307,53.0,0.0,53.0,0.07828655834564253,0.0,0.07828655834564253
3551108,3552205,608.0,0.0,608.0,0.8980797636632201,0.0,0.8980797636632201
3551207,3550308,58.0,0.0,58.0,0.08787878787878788,0.0,0.08787878787878788
3551603,3500501,1764.0,0.0,1764.0,0.10748887941015173,0.0,0.10748887941015173
3551603,3501905,5205.0,0.0,5205.0,0.3171653159466212,0.0,0.3171653159466212
3551603,3509502,1902.0,0.0,1902.0,0.11589787337761258,0.0,0.11589787337761258
3551603,3525904,612.0,0.0,612.0,0.03729206020352203,0.0,0.03729206020352203
3551603,3548500,535.0,0.0,535.0,0.03260008530863445,0.0,0.03260008530863445
3551603,3550308,3570.0,0.0,3570.0,0.2175370178538785,0.0,0.2175370178538785
3551702,3509502,1481.0,0.0,1481.0,0.09648837057788781,0.0,0.09648837057788781
3551702,3511102,421.0,0.0,421.0,0.027428496970486677,0.0,0.027428496970486677
3551702,3516200,1064.0,0.0,1064.0,0.06932047690403284,0.0,0.06932047690403284
3551702,3529005,114.0,0.0,114.0,0.007427193954003518,0.0,0.007427193954003518
3551702,3543402,1075.0,0.0,1075.0,0.07003713596977001,0.0,0.07003713596977001
3551702,3545605,165.0,0.0,165.0,0.010749885986057724,0.0,0.010749885986057724
3551702,3549805,653.0,0.0,653.0,0.04254348817512542,0.0,0.04254348817512542
3551702,3550308,2866.0,0.0,2866.0,0.18672226203661477,0.0,0.18672226203661477
3551702,4113700,291.0,0.0,291.0,0.01895888982995635,0.0,0.01895888982995635
3551900,3503208,83.0,0.0,83.0,0.018710550045085664,0.0,0.018710550045085664
3551900,3509502,385.0,0.0,385.0,0.08678990081154193,0.0,0.08678990081154193
3551900,3511102,389.0,0.0,389.0,0.08769161406672678,0.0,0.08769161406672678
3551900,3529302,74.0,0.0,74.0,0.016681695220919748,0.0,0.016681695220919748
3551900,3543402,1130.0,0.0,1130.0,0.25473399458972046,0.0,0.25473399458972046
3551900,3548906,26.0,0.0,26.0,0.005861136158701533,0.0,0.005861136158701533
3551900,3549805,369.0,0.0,369.0,0.08318304779080253,0.0,0.08318304779080253
3551900,3550308,199.0,0.0,199.0,0.044860234445446345,0.0,0.044860234445446345
3552007,3518404,140.0,0.0,140.0,0.343980343980344,0.0,0.343980343980344
3552007,3527207,56.0,0.0,56.0,0.1375921375921376,0.0,0.1375921375921376
3552106,3500501,1681.0,0.0,1681.0,0.14696625284140585,0.0,0.14696625284140585
3552106,3501905,223.0,0.0,223.0,0.01949641545724777,0.0,0.01949641545724777
3552106,3509502,1471.0,0.0,1471.0,0.1286063997202308,0.0,0.1286063997202308
3552106,3550308,5647.0,0.0,5647.0,0.49370519321559714,0.0,0.49370519321559714
3552551,3524808,107.0,0.0,107.0,0.11928651059085842,0.0,0.11928651059085842
3552601,3511102,930.0,0.0,930.0,1.0,0.0,1.0
3552700,3503208,240.0,0.0,240.0,0.0990916597853014,0.0,0.0990916597853014
3552700,3509502,217.0,0.0,217.0,0.08959537572254335,0.0,0.08959537572254335
3552700,3543907,70.0,0.0,70.0,0.028901734104046242,0.0,0.028901734104046242
3552700,3548906,48.0,0.0,48.0,0.01981833195706028,0.0,0.01981833195706028
3552700,3550308,168.0,0.0,168.0,0.06936416184971098,0.0,0.06936416184971098
3553005,3522307,11.0,0.0,11.0,0.0140485312899106,0.0,0.0140485312899106
3553005,3550308,290.0,0.0,290.0,0.37037037037037035,0.0,0.37037037037037035
3553005,3552205,99.0,0.0,99.0,0.12643678160919541,0.0,0.12643678160919541
3553302,3509502,665.0,0.0,665.0,0.14557793345008757,0.0,0.14557793345008757
3553302,3526704,125.0,0.0,125.0,0.02736427320490368,0.0,0.02736427320490368
3553302,3543402,673.0,0.0,673.0,0.1473292469352014,0.0,0.1473292469352014
3553302,3550308,1424.0,0.0,1424.0,0.3117338003502627,0.0,0.3117338003502627
3553401,3501608,88.0,0.0,88.0,0.015781922525107604,0.0,0.015781922525107604
3553401,3503208,208.0,0.0,208.0,0.03730272596843615,0.0,0.03730272596843615
3553401,3509502,289.0,0.0,289.0,0.051829268292682924,0.0,0.051829268292682924
3553401,3511102,210.0,0.0,210.0,0.03766140602582496,0.0,0.03766140602582496
3553401,3515509,987.0,0.0,987.0,0.17700860832137733,0.0,0.17700860832137733
3553401,3524808,369.0,0.0,369.0,0.0661764705882353,0.0,0.0661764705882353
3553401,3525904,32.0,0.0,32.0,0.005738880918220947,0.0,0.005738880918220947
3553401,3526902,50.0,0.0,50.0,0.008967001434720229,0.0,0.008967001434720229
3553401,3543402,283.0,0.0,283.0,0.0507532281205165,0.0,0.0507532281205165
3553401,3543907,67.0,0.0,67.0,0.012015781922525108,0.0,0.012015781922525108
3553401,3546603,260.0,0.0,260.0,0.046628407460545196,0.0,0.046628407460545196
3553401,3548906,71.0,0.0,71.0,0.012733142037302726,0.0,0.012733142037302726
3553401,3549805,782.0,0.0,782.0,0.1402439024390244,0.0,0.1402439024390244
3553401,3550308,206.0,0.0,206.0,0.036944045911047343,0.0,0.036944045911047343
3553401,3557105,101.0,0.0,101.0,0.018113342898134863,0.0,0.018113342898134863
3553500,3520301,10.0,0.0,10.0,0.03225806451612903,0.0,0.03225806451612903
3553500,3550308,114.0,0.0,114.0,0.36774193548387096,0.0,0.36774193548387096
3553500,3552205,87.0,0.0,87.0,0.2806451612903226,0.0,0.2806451612903226
3553609,3509502,369.0,0.0,369.0,0.03306155362422722,0.0,0.03306155362422722
3553609,3550308,592.0,0.0,592.0,0.0530418421288415,0.0,0.0530418421288415
3553658,3543402,169.0,0.0,169.0,0.4043062200956938,0.0,0.4043062200956938
3553708,3503208,480.0,0.0,480.0,0.02146690518783542,0.0,0.02146690518783542
3553708,3506003,839.0,0.0,839.0,0.03752236135957066,0.0,0.03752236135957066
3553708,3506508,28.0,0.0,28.0,0.0012522361359570662,0.0,0.0012522361359570662
3553708,3509502,1584.0,0.0,1584.0,0.07084078711985689,0.0,0.07084078711985689
3553708,3511102,943.0,0.0,943.0,0.042173524150268336,0.0,0.042173524150268336
3553708,3516200,692.0,0.0,692.0,0.030948121645796065,0.0,0.030948121645796065
3553708,3522307,103.0,0.0,103.0,0.004606440071556351,0.0,0.004606440071556351
3553708,3529005,262.0,0.0,262.0,0.011717352415026834,0.0,0.011717352415026834
3553708,3529302,735.0,0.0,735.0,0.03287119856887299,0.0,0.03287119856887299
