id,cod_mun_a,cod_mun_b,freq_saida_2016
29030032929909,2903003,2929909,0.0
33002253303906,3300225,3303906,0.0
35045033553807,3504503,3553807,0.0
41042044120101,4104204,4120101,0.0
23083022604304,2308302,2604304,0.0
29082002922300,2908200,2922300,0.0
24057022507804,2405702,2507804,0.0
23076012312502,2307601,2312502,0.0
35093043533908,3509304,3533908,0.0
41199054125100,4119905,4125100,0.0
13026031503101,1302603,1503101,7.5
28003082806701,2800308,2806701,0.0
41012004118204,4101200,4118204,0.0
13008051301704,1300805,1301704,6.0
13009041304104,1300904,1304104,1.5
15018081503903,1501808,1503903,3.0
21009072112704,2100907,2112704,0.0
21021012108058,2102101,2108058,0.0
22024552210003,2202455,2210003,0.0
26007082604601,2600708,2604601,0.0
26015082605004,2601508,2605004,0.0
26036032607653,2603603,2607653,0.0
28005062803708,2800506,2803708,0.0
29051562925006,2905156,2925006,0.0
35391033550308,3539103,3550308,0.0
23012082305100,2301208,2305100,0.0
35027053543006,3502705,3543006,0.0
23074032311900,2307403,2311900,0.0
23049052305001,2304905,2305001,0.0
17027031711506,1702703,1711506,0.0
31439063305406,3143906,3305406,0.0
31015083303401,3101508,3303401,0.0
23042362305308,2304236,2305308,0.0
13026031501402,1302603,1501402,3.5
43187054320305,4318705,4320305,0.0
29103052928505,2910305,2928505,0.0
43010084312054,4301008,4312054,0.0
15014021505908,1501402,1505908,4.5
24089042507804,2408904,2507804,0.0
35040083537156,3504008,3537156,0.0
16003031600808,1600303,1600808,1.5
23043502305803,2304350,2305803,0.0
23020083304557,2302008,3304557,0.0
23058032311702,2305803,2311702,0.0
21084542307304,2108454,2307304,0.0
23051002311603,2305100,2311603,0.0
52099525216304,5209952,5216304,0.0
29229042927002,2922904,2927002,0.0
42031054320800,4203105,4320800,0.0
35344013539103,3534401,3539103,0.0
43151564320677,4315156,4320677,0.0
29057012921005,2905701,2921005,0.0
41177014125100,4117701,4125100,0.0
23043502305001,2304350,2305001,0.0
35038023509502,3503802,3509502,0.0
23073043543402,2307304,3543402,0.0
35164083525904,3516408,3525904,0.0
35092053525904,3509205,3525904,0.0
11002541100908,1100254,1100908,0.0
15013031505205,1501303,1505205,7.0
15018081503101,1501808,1503101,18.0
15047521506807,1504752,1506807,0.0
21125062207702,2112506,2207702,0.0
22009052204808,2200905,2204808,0.0
22107062615607,2210706,2615607,0.0
23008042301307,2300804,2301307,0.0
23025032604304,2302503,2604304,0.0
23049052310951,2304905,2310951,0.0
23077002309805,2307700,2309805,0.0
24019092403756,2401909,2403756,0.0
25011532510808,2501153,2510808,0.0
25030012606200,2503001,2606200,0.0
26015082610202,2601508,2610202,0.0
26027042616308,2602704,2616308,0.0
26125052615409,2612505,2615409,0.0
27003002702603,2700300,2702603,0.0
29012052908705,2901205,2908705,0.0
33045573305554,3304557,3305554,0.0
35133063535507,3513306,3535507,0.0
35183053546801,3518305,3546801,0.0
35233053537602,3523305,3537602,0.0
43026594318705,4302659,4318705,0.0
43156024318507,4315602,4318507,472.0
51025045103809,5102504,5103809,0.0
52148615216908,5214861,5216908,0.0
33030053303500,3303005,3303500,0.0
41238084320800,4123808,4320800,0.0
52074025208707,5207402,5208707,0.0
29106022922904,2910602,2922904,0.0
29107012919900,2910701,2919900,0.0
35286013546405,3528601,3546405,0.0
13017041303106,1301704,1303106,6.0
15018081505106,1501808,1505106,3.0
31702065201405,3170206,5201405,0.0
27024053204906,2702405,3204906,0.0
23018022304202,2301802,2304202,0.0
23073042910800,2307304,2910800,0.0
27067032803203,2706703,2803203,0.0
23003092303303,2300309,2303303,0.0
23018022307304,2301802,2307304,0.0
25013022512507,2501302,2512507,0.0
26076532615300,2607653,2615300,0.0
43008774313409,4300877,4313409,0.0
41047094119905,4104709,4119905,0.0
29042092904506,2904209,2904506,0.0
35468013552502,3546801,3552502,0.0
33035003304706,3303500,3304706,0.0
43117914318705,4311791,4318705,0.0
35414065106752,3541406,5106752,0.0
15018081506807,1501808,1506807,6.0
25056005300108,2505600,5300108,0.0
41035034122107,4103503,4122107,0.0
41137005106752,4113700,5106752,0.0
35271083530102,3527108,3530102,0.0
51061825107875,5106182,5107875,0.0
23071062307205,2307106,2307205,0.0
29045062931053,2904506,2931053,0.0
11002051303106,1100205,1303106,16.0
13000291301209,1300029,1301209,6.0
13003001302603,1300300,1302603,13.5
13008391302603,1300839,1302603,9.0
13026031505106,1302603,1505106,26.0
15003051501402,1500305,1501402,1.5
15014021504901,1501402,1504901,31.0
15014021505205,1501402,1505205,8.0
15018081504802,1501808,1504802,7.0
15018081600279,1501808,1600279,3.0
15018081600808,1501808,1600808,3.0
15031011600279,1503101,1600279,4.5
15031011600808,1503101,1600808,3.0
15048021505106,1504802,1505106,8.0
15061381712504,1506138,1712504,0.0
27001023550308,2700102,3550308,0.0
29035082917409,2903508,2917409,0.0
31434503550308,3143450,3550308,0.0
23042362304905,2304236,2304905,0.0
35217053553807,3521705,3553807,0.0
43100094318705,4310009,4318705,0.0
24094072410603,2409407,2410603,0.0
25058082508208,2505808,2508208,0.0
26095012610608,2609501,2610608,0.0
31212583520103,3121258,3520103,0.0
32007063201209,3200706,3201209,0.0
15080505107602,1508050,5107602,0.0
11002055002704,1100205,5002704,0.0
29122022933307,2912202,2933307,0.0
24057022507705,2405702,2507705,0.0
15061381707108,1506138,1707108,0.0
23042362304350,2304236,2304350,0.0
43149025107925,4314902,5107925,0.0
23042362313401,2304236,2313401,0.0
35116073554508,3511607,3554508,0.0
13026031304104,1302603,1304104,10.5
29012052921807,2901205,2921807,0.0
35322073541406,3532207,3541406,0.0
23069002308104,2306900,2308104,0.0
