cod_mun_origem,cod_mun_destino,total_passagens_2019,total_passagens_2020,tempo_medio_2019,tempo_medio_2020
4106902,3509502,37366.0,19241.0,61,58
2304400,3106200,37209.0,23135.0,167,163
3304557,3543402,36978.0,,110,
3543402,3304557,36929.0,,98,
3509502,4314902,36919.0,23043.0,103,102
3509502,4106902,36890.0,19355.0,59,57
2408102,5300108,36761.0,28610.0,161,164
2927408,2933307,36740.0,,69,
2307304,2304400,36675.0,9890.0,-2,65
5300108,1501402,36573.0,22293.0,148,151
2933307,2927408,36283.0,,64,
4204202,4205407,36221.0,,57,
4205407,4204202,36194.0,,65,
4314902,3509502,36102.0,22835.0,100,95
2611101,3550308,35945.0,31028.0,162,159
2611606,3106200,35927.0,22107.0,151,147
3550308,2611101,35877.0,31681.0,154,154
4314902,5208707,35849.0,23089.0,-2,-2
3205309,4314902,35739.0,23960.0,-2,-2
4314902,3205309,35738.0,24000.0,-2,-2
2304400,2307304,35690.0,9632.0,-2,68
5208707,4314902,35625.0,23026.0,-2,-2
1501402,5300108,35620.0,22123.0,150,151
5300108,2408102,35597.0,28402.0,158,162
3106200,2304400,35589.0,22738.0,171,165
3106200,2611606,35385.0,21512.0,149,145
2927408,3205309,35116.0,18341.0,91,119
3205309,2927408,34871.0,18575.0,91,128
2105302,2111300,34282.0,,60,
3550308,4204202,33376.0,,94,
1506807,1302603,33373.0,22832.0,72,73
1302603,1100205,33348.0,20844.0,85,98
3550308,4305108,33260.0,,93,
2111300,2105302,33120.0,,64,
4305108,3550308,33001.0,,85,
2611606,4314902,32948.0,30038.0,-2,254
5002704,5300108,32752.0,13818.0,91,92
5300108,5002704,32539.0,13594.0,100,100
3170206,3304557,32433.0,12053.0,-2,119
4314902,2611606,32330.0,29593.0,-2,238
4204202,3550308,32300.0,,91,
3304557,3170206,32284.0,12125.0,-2,-2
1100205,1302603,32151.0,20466.0,83,92
2611606,2611101,32140.0,12746.0,77,77
2611101,2611606,32009.0,12979.0,73,72
2611606,3509502,31100.0,21587.0,192,188
