cod_mun,pib,PIB_agro,PIB_ind,PIB_serv,PIB_pub,hierarquia,nome_hierarquia,CGT,CI,CGP,indice_atracao,ia_vestuario,ia_moveis,ia_saude_bm,ia_saude_a,ia_ensino_sup,ia_cultura,ia_esporte,ia_aeroporto,ia_jornal,ia_transporte,num_leitos
3102605,854890,114164,143065,361549,146269,4A,Centro de Zona A,2.59328606702046,2.29225607135648,0.301029995663981,18156.6830945289,19437.8974331875,90105.5422995626,41994.8833333333,2455.8,290.25,7497.01046294485,12746.3875963774,0.0,2562.28333333333,4304.38204210526,1.59520946327337
5218003,845940,102671,106821,394827,164511,4A,Centro de Zona A,2.55990662503611,2.08278537031645,0.477121254719662,38507.5790658352,32746.1033333333,33822.4166666667,40444.15,8380.46666666667,42326.6833333333,61029.85,46154.4266666667,0.0,51999.2666666667,67265.8125102045,2.45841731080153
3300605,845825,45517,104811,345952,294893,4A,Centro de Zona A,2.65609820201283,2.17897694729317,0.477121254719662,14323.6403603772,17968.8333333333,11759.0666666667,28047.0666666666,2298.5,2988.06666666667,14091.9833333333,28455.3333333333,0.0,0.0,37627.5536037724,2.79347478409212
3200904,845656,38429,209023,333275,182777,4A,Centro de Zona A,2.7419390777292,2.44090908206522,0.301029995663981,25323.7629450135,30103.2666666667,37803.5,48363.8333333334,10577.0666666667,12080.95,28057.3833333333,42179.4,0.0,5971.98333333333,37252.6275982833,0.564143066681711
4219705,844980,78307,247054,301229,123829,4A,Centro de Zona A,2.53402610605613,2.23299611039215,0.301029995663981,20399.8593315912,16624.2480601281,4518.56843896133,38869.8025554182,14.9733333333333,27027.0525081339,10053.1974265027,6129.09345595364,0.0,15439.6,84197.2733399502,1.68871376301717
4211702,844621,103366,231011,312905,100897,4A,Centro de Zona A,2.48572142648158,2.1846914308176,0.301029995663981,42052.1147126154,8529.78666666666,274869.103162752,11202.4486495249,758.7,59138.0416763761,2612.78333333333,14107.9135698028,0.0,17551.0666666667,29929.6512162623,2.28220320386219
2104057,822014,83481,332965,206022,159506,4A,Centro de Zona A,2.4638929889859,1.98677173426624,0.477121254719662,25298.1286417973,18560.709984417,20059.3762468112,2396.09862712508,0.0,4979.38376242153,33628.212910104,43102.6180867816,0.0,5038.66666666666,121417.00371455,1.27276900285851
4216909,805106,88673,188153,307234,96326,4A,Centro de Zona A,2.78247262416628,2.30535136944662,0.477121254719662,8962.67606598842,16338.9880535457,13425.1366666667,6491.22,1046.99167307725,8667.11028855322,5872.80721902453,7900.68333333333,0.0,10184.9666666667,18784.9756479057,2.34731944502662
4320909,792303,78772,237127,279429,96033,4A,Centro de Zona A,2.67577834167408,2.3747483460101,0.301029995663981,10771.9815761989,15603.4991462721,11501.3666666667,17007.6833333333,2315.33333333333,1752.28333333333,14480.473855268,21068.4063398306,0.0,18612.5333333333,5353.76234654458,3.88989894719039
5220108,784308,41453,207137,351676,120436,4A,Centro de Zona A,2.5888317255942,1.98677173426624,0.602059991327962,36907.3417182654,43051.1274454281,41115.4881333751,55066.0274239305,3624.01666666666,112851.325464886,38225.49,42430.7833333333,0.0,7499.26333333333,23927.1847000331,2.95787272184045
5105101,780812,155096,96168,273402,190143,4A,Centro de Zona A,2.66745295288995,2.19033169817029,0.477121254719662,11197.6718896481,8806.48333333333,8271.85,8974.43333333333,132.833333333333,5817.8,11858.7833333333,8987.15,0.0,41924.0,16067.1355631481,1.86701134568433
3541505,780170,63822,58178,453143,162769,4A,Centro de Zona A,2.81624129999178,2.11727129565576,0.698970004336019,15601.6111534929,7527.71666666667,6915.16037577029,3428.96333333333,3686.03333333333,3955.46666666667,57196.9789742065,24612.8271460282,0.0,6256.73333333333,42436.2317055911,2.12164073550212
4112108,773577,66736,138701,359521,121237,4A,Centro de Zona A,2.68304703823885,2.38201704257487,0.301029995663981,13660.3309134631,10604.0333333333,12643.05,2249.79333333334,2780.98333333334,28470.7533333333,1706.23333333333,8875.02666666667,0.0,4728.66666666667,64379.3839494457,11.7850354242267
4208500,771192,132205,154317,314504,103337,4A,Centro de Zona A,2.37839790094814,2.37839790094814,0.0,21522.3996951524,28425.5428827392,23968.2340847182,34046.4255126899,107.533333333333,12809.9333333333,40988.7713229522,27181.2666666667,0.0,28597.9,15574.3490743506,2.41818474931485
4302808,757197,104852,114442,328029,152038,4A,Centro de Zona A,2.66745295288995,2.19033169817029,0.477121254719662,5726.803919875,6130.16666666667,6605.33333333333,1753.73333333333,0.0,3225.3,1686.9,6830.19955336607,0.0,173.773913135381,30862.6323989152,2.34407453563587
2928604,755103,56979,164699,269283,180873,4A,Centro de Zona A,2.84260923961056,2.06445798922692,0.778151250383644,8639.01985153288,10810.7575840876,9981.66666666666,14237.5333333333,0.0,3076.83515505367,7468.04062418231,11211.6680134393,0.0,0.0,29285.9533477162,1.47869337276516
4308904,728984,105719,131875,321405,101018,4A,Centro de Zona A,2.59549622182557,2.29446622616159,0.301029995663981,10301.4781006086,8040.26666666667,9372.5,10708.4066666667,743.916666666667,29587.0066666667,13760.6333333333,10273.0166666667,0.0,6952.14,12706.6150801599,5.71660064818149
3107307,728701,67509,121793,264919,184830,4A,Centro de Zona A,2.57749179983722,2.10037054511756,0.477121254719662,13026.1755931637,21803.7333333333,18829.8333333333,16992.2333333333,3231.30000000001,6656.06333333333,14229.85,17918.2,0.0,0.0,19146.7275663462,1.28148652436827
2906006,726876,39512,221578,216733,206668,4A,Centro de Zona A,2.67760695272049,2.07554696139253,0.602059991327962,21321.8723575152,78171.5833333333,46384.0666666666,30688.6833333333,781.0,390.5,26690.5833333333,9558.96666666666,0.0,0.0,20553.3402418186,1.18456678700361
3162104,720199,76608,56713,383905,127386,4A,Centro de Zona A,2.68124123737558,2.20411998265592,0.477121254719662,10013.5136786146,12888.5933333333,12773.5666666667,12760.6833333333,108.983333333334,9075.05,18202.1933333333,16400.9333333333,0.0,125.266666666667,16140.2767909563,1.25195618153365
5103353,701685,121155,86395,274002,157161,4A,Centro de Zona A,2.60745502321467,2.13033376849501,0.477121254719662,14782.4857939503,21089.3333333333,23705.1666666667,22247.8333333333,166.333333333333,8386.6,10923.7333333333,19212.2833333333,0.0,5702.66666666666,29981.9173647148,1.74646587801101
2914000,693069,46141,217090,210920,177428,4A,Centro de Zona A,2.63548374681491,2.15836249209525,0.477121254719662,13558.8924871839,28580.8,11245.7233333333,11590.2666666667,0.0,3602.8,16671.87,24641.6,0.0,0.0,32825.56132033,0.736241487207804
4102406,691224,116678,73411,323272,127460,4A,Centro de Zona A,2.51054501020661,2.03342375548695,0.477121254719662,17069.0864362088,28778.0733333333,25525.1633333333,18606.4466666667,3048.53333333333,38642.9933333333,9703.84333333334,7901.53333333333,0.0,17700.6833333333,20783.594362088,4.757977542346
2302503,685237,38606,177215,249550,164736,4A,Centro de Zona A,2.59769518592551,2.12057393120585,0.477121254719662,95551.227942943,59264.0333333333,51763.4333333333,575167.166666667,28418.1333333333,2115.16666666667,83078.9666666666,81323.7833333333,0.0,0.0,33099.016685162,4.78527357510843
4116901,659465,79244,96369,311451,114952,4A,Centro de Zona A,2.68394713075151,2.20682587603185,0.477121254719662,12960.2948375988,10001.8850176736,8703.03658623231,2779.65194823625,0.0,2677.21974329192,3964.3759495312,15047.1627815675,0.0,37530.8182058046,48402.7729584651,2.40825275870745
