cod_origem,cod_destino,saude_baixa_media,saude_alta
1100304,1100205,0.4,0.35
1100304,5103403,0.0,0.266666666666667
1100304,0,0.0,0.0166666666666667
1100304,3505500,0.0,0.0666666666666667
1100320,1100122,0.3,0.15
1100320,1100205,0.266666666666667,0.483333333333333
1100320,1100049,0.3,0.18333333333333302
1100320,1100288,0.0666666666666667,0.0
1100320,1101492,0.0333333333333333,0.0333333333333333
1100320,1100148,0.0333333333333333,0.0
1100320,3505500,0.0,0.0833333333333333
1100320,1100304,0.0,0.0666666666666667
1100338,1100205,0.666666666666667,0.566666666666667
1100338,3550308,0.116666666666667,0.1
1100338,1100106,0.05,0.0333333333333333
1100338,3304557,0.0166666666666667,0.05
1100338,5208707,0.05,0.0833333333333333
1100338,3505500,0.0166666666666667,0.133333333333333
1100338,0,0.05,0.0
1100338,4106902,0.0166666666666667,0.0
1100338,1100452,0.0166666666666667,0.0
1100338,3106200,0.0,0.0333333333333333
1100346,1100122,0.433333333333333,0.0
1100346,1100049,0.4,0.466666666666667
1100346,1100205,0.166666666666667,0.5
1100346,3505500,0.0,0.0333333333333333
1100379,1100288,0.5,0.0
1100379,1100049,0.35,0.5
1100379,1100205,0.0,0.366666666666667
1100379,1100122,0.15,0.0666666666666667
1100379,3505500,0.0,0.0333333333333333
1100379,5103403,0.0,0.0333333333333333
1100403,1100023,0.433333333333333,0.233333333333333
1100403,1100205,0.533333333333333,0.766666666666667
1100403,1100122,0.0333333333333333,0.0
1100452,1100023,0.866666666666667,0.133333333333333
1100452,1100205,0.133333333333333,0.833333333333333
1100452,1100049,0.0,0.0333333333333333
1100502,1100288,0.466666666666667,0.0
1100502,1100049,0.433333333333333,0.4
1100502,1100205,0.0,0.5
1100502,1100148,0.0333333333333333,0.0
1100502,1100122,0.0666666666666667,0.05
1100502,5103403,0.0,0.0333333333333333
1100502,3505500,0.0,0.0166666666666667
1100601,1100023,0.8,0.0833333333333333
1100601,1100205,0.166666666666667,0.916666666666667
1100601,1100114,0.0333333333333333,0.0
1100700,1100023,0.666666666666667,0.4
1100700,1100205,0.1,0.566666666666667
1100700,1100452,0.233333333333333,0.0
1100700,3505500,0.0,0.0333333333333333
1100809,1100205,0.833333333333333,0.833333333333333
1100809,1100023,0.0666666666666667,0.0
1100809,0,0.05,0.0666666666666667
1100809,3550308,0.0166666666666667,0.0
1100809,5208707,0.0166666666666667,0.0166666666666667
1100809,3505500,0.0166666666666667,0.0666666666666667
1100809,4106902,0.0,0.0166666666666667
1100908,1100049,0.533333333333333,0.466666666666667
1100908,1100288,0.2,0.0
1100908,1100122,0.166666666666667,0.0666666666666667
1100908,1100205,0.1,0.466666666666667
1100924,1100304,0.716666666666667,0.25
1100924,1100189,0.0833333333333333,0.0
1100924,1100049,0.2,0.566666666666667
1100924,1100205,0.0,0.15
1100924,0,0.0,0.0333333333333333
1100940,1100023,0.633333333333333,0.583333333333333
1100940,1100205,0.366666666666667,0.4
1100940,1100452,0.0,0.0166666666666667
1101005,1100114,0.516666666666667,0.15
1101005,1100205,0.0333333333333333,0.366666666666667
1101005,1100122,0.116666666666667,0.133333333333333
1101005,1100023,0.18333333333333302,0.0833333333333333
1101005,1100155,0.15,0.0
1101005,1100049,0.0,0.2
1101005,3505500,0.0,0.0666666666666667
1101104,1100205,0.75,0.766666666666667
1101104,1100023,0.1,0.0
1101104,0,0.116666666666667,0.05
1101104,3550308,0.0,0.0166666666666667
1101104,3505500,0.0,0.15
1101104,5208707,0.0333333333333333,0.0166666666666667
1101203,1100049,0.666666666666667,0.3
1101203,1100122,0.216666666666667,0.1
1101203,1100205,0.05,0.483333333333333
1101203,5103403,0.0,0.0833333333333333
1101203,1100304,0.0666666666666667,0.0
1101203,3505500,0.0,0.0333333333333333
