"Tabela 6579 - População residente estimada"
"Variável - População residente estimada"
"Nível";"Cód.";"UF e Município, em ordem de código de UF e nome de Município";"Ano"
"Nível";"Cód.";"UF e Município, em ordem de código de UF e nome de Município";"2011";;"2021"
"MU";"1500206";"  Acará";"53680";"Pessoas";"55744";"Pessoas"
"MU";"1500305";"  Afuá";"35467";"Pessoas";"39910";"Pessoas"
"MU";"1500347";"  Água Azul do Norte";"25286";"Pessoas";"27797";"Pessoas"
"MU";"1500404";"  Alenquer";"53004";"Pessoas";"57390";"Pessoas"
"MU";"1500503";"  Almeirim";"33588";"Pessoas";"34044";"Pessoas"
"MU";"1500602";"  Altamira";"100736";"Pessoas";"117320";"Pessoas"
"MU";"1500701";"  Anajás";"25254";"Pessoas";"30091";"Pessoas"
"MU";"1500800";"  Ananindeua";"477999";"Pessoas";"540410";"Pessoas"
"MU";"1500859";"  Anapu";"21398";"Pessoas";"29312";"Pessoas"
"MU";"1500909";"  Augusto Corrêa";"41072";"Pessoas";"46937";"Pessoas"
"MU";"1500958";"  Aurora do Pará";"27070";"Pessoas";"32200";"Pessoas"
"MU";"1501006";"  Aveiro";"15875";"Pessoas";"16421";"Pessoas"
"MU";"1501105";"  Bagre";"24644";"Pessoas";"31967";"Pessoas"
"MU";"1501204";"  Baião";"38092";"Pessoas";"49454";"Pessoas"
"MU";"1501253";"  Bannach";"3405";"Pessoas";"3239";"Pessoas"
"MU";"1501303";"  Barcarena";"102668";"Pessoas";"129333";"Pessoas"
"MU";"1501402";"  Belém";"1402056";"Pessoas";"1506420";"Pessoas"
"MU";"1501451";"  Belterra";"16451";"Pessoas";"17944";"Pessoas"
"MU";"1501501";"  Benevides";"52888";"Pessoas";"64780";"Pessoas"
"MU";"1501576";"  Bom Jesus do Tocantins";"15467";"Pessoas";"17254";"Pessoas"
"MU";"1501600";"  Bonito";"13923";"Pessoas";"16769";"Pessoas"
"MU";"1501709";"  Bragança";"114720";"Pessoas";"130122";"Pessoas"
"MU";"1501725";"  Brasil Novo";"15575";"Pessoas";"14883";"Pessoas"
"MU";"1501758";"  Brejo Grande do Araguaia";"7306";"Pessoas";"7357";"Pessoas"
"MU";"1501782";"  Breu Branco";"54032";"Pessoas";"68597";"Pessoas"
"MU";"1501808";"  Breves";"93835";"Pessoas";"104280";"Pessoas"
"MU";"1501907";"  Bujaru";"26053";"Pessoas";"29717";"Pessoas"
"MU";"1502004";"  Cachoeira do Arari";"20801";"Pessoas";"24355";"Pessoas"
"MU";"1501956";"  Cachoeira do Piriá";"27332";"Pessoas";"35307";"Pessoas"
"MU";"1502103";"  Cametá";"122683";"Pessoas";"140814";"Pessoas"
"MU";"1502152";"  Canaã dos Carajás";"27929";"Pessoas";"39103";"Pessoas"
"MU";"1502202";"  Capanema";"64140";"Pessoas";"69828";"Pessoas"
"MU";"1502301";"  Capitão Poço";"52057";"Pessoas";"54545";"Pessoas"
"MU";"1502400";"  Castanhal";"176116";"Pessoas";"205667";"Pessoas"
"MU";"1502509";"  Chaves";"21286";"Pessoas";"24175";"Pessoas"
"MU";"1502608";"  Colares";"11439";"Pessoas";"12175";"Pessoas"
"MU";"1502707";"  Conceição do Araguaia";"45724";"Pessoas";"48115";"Pessoas"
"MU";"1502756";"  Concórdia do Pará";"28774";"Pessoas";"34236";"Pessoas"
"MU";"1502764";"  Cumaru do Norte";"10811";"Pessoas";"14044";"Pessoas"
"MU";"1502772";"  Curionópolis";"18197";"Pessoas";"17764";"Pessoas"
"MU";"1502806";"  Curralinho";"29204";"Pessoas";"35530";"Pessoas"
"MU";"1502855";"  Curuá";"12487";"Pessoas";"14776";"Pessoas"
"MU";"1502905";"  Curuçá";"34919";"Pessoas";"41093";"Pessoas"
"MU";"1502939";"  Dom Eliseu";"52224";"Pessoas";"61206";"Pessoas"
"MU";"1502954";"  Eldorado do Carajás";"31954";"Pessoas";"34069";"Pessoas"
"MU";"1503002";"  Faro";"8035";"Pessoas";"6949";"Pessoas"
"MU";"1503044";"  Floresta do Araguaia";"18036";"Pessoas";"20742";"Pessoas"
"MU";"1503077";"  Garrafão do Norte";"25097";"Pessoas";"26155";"Pessoas"
"MU";"1503093";"  Goianésia do Pará";"31031";"Pessoas";"41678";"Pessoas"
"MU";"1503101";"  Gurupá";"29520";"Pessoas";"34127";"Pessoas"
"MU";"1503200";"  Igarapé-Açu";"36155";"Pessoas";"39234";"Pessoas"
"MU";"1503309";"  Igarapé-Miri";"58498";"Pessoas";"63367";"Pessoas"
"MU";"1503408";"  Inhangapi";"10218";"Pessoas";"12009";"Pessoas"
"MU";"1503457";"  Ipixuna do Pará";"53318";"Pessoas";"67170";"Pessoas"
"MU";"1503507";"  Irituia";"31429";"Pessoas";"32639";"Pessoas"
"MU";"1503606";"  Itaituba";"97704";"Pessoas";"101541";"Pessoas"
"MU";"1503705";"  Itupiranga";"51341";"Pessoas";"53439";"Pessoas"
"MU";"1503754";"  Jacareacanga";"14223";"Pessoas";"6952";"Pessoas"
"MU";"1503804";"  Jacundá";"52191";"Pessoas";"60517";"Pessoas"
"MU";"1503903";"  Juruti";"48306";"Pessoas";"59961";"Pessoas"
"MU";"1504000";"  Limoeiro do Ajuru";"25440";"Pessoas";"29623";"Pessoas"
"MU";"1504059";"  Mãe do Rio";"28100";"Pessoas";"30389";"Pessoas"
"MU";"1504109";"  Magalhães Barata";"8148";"Pessoas";"8598";"Pessoas"
"MU";"1504208";"  Marabá";"238708";"Pessoas";"287664";"Pessoas"
"MU";"1504307";"  Maracanã";"28438";"Pessoas";"29559";"Pessoas"
"MU";"1504406";"  Marapanim";"26750";"Pessoas";"28563";"Pessoas"
"MU";"1504422";"  Marituba";"110842";"Pessoas";"135812";"Pessoas"
"MU";"1504455";"  Medicilândia";"27785";"Pessoas";"32347";"Pessoas"
"MU";"1504505";"  Melgaço";"25096";"Pessoas";"28121";"Pessoas"
"MU";"1504604";"  Mocajuba";"27207";"Pessoas";"31917";"Pessoas"
"MU";"1504703";"  Moju";"71329";"Pessoas";"84251";"Pessoas"
"MU";"1504752";"  Mojuí dos Campos";"...";"Pessoas";"16282";"Pessoas"
"MU";"1504802";"  Monte Alegre";"55636";"Pessoas";"58289";"Pessoas"
"MU";"1504901";"  Muaná";"34875";"Pessoas";"41454";"Pessoas"
"MU";"1504950";"  Nova Esperança do Piriá";"20256";"Pessoas";"21519";"Pessoas"
"MU";"1504976";"  Nova Ipixuna";"14859";"Pessoas";"17027";"Pessoas"
"MU";"1505007";"  Nova Timboteua";"13844";"Pessoas";"15646";"Pessoas"
"MU";"1505031";"  Novo Progresso";"25138";"Pessoas";"25769";"Pessoas"
"MU";"1505064";"  Novo Repartimento";"63604";"Pessoas";"78488";"Pessoas"
"MU";"1505106";"  Óbidos";"49552";"Pessoas";"52473";"Pessoas"
"MU";"1505205";"  Oeiras do Pará";"29005";"Pessoas";"33182";"Pessoas"
"MU";"1505304";"  Oriximiná";"63905";"Pessoas";"74921";"Pessoas"
